v1,d1,v2,d2,v3,y3,v4,d4,v5,d5
4907.17755,51.94263,4960.06476,32.74674,3849.43335,32.95204,793.30815,21.9683,7313.5456,0.51406
4884.5116,51.73733,4986.50836,32.74674,3875.87696,32.95204,819.75175,21.9683,7287.102,0.61671
4858.068,51.89131,5012.95197,32.74674,3902.32056,32.84939,846.19536,21.9683,7260.65839,0.97599
4831.62439,51.89131,5039.39557,32.74674,3928.76417,32.74674,872.63896,21.9683,7234.21479,1.12997
4805.18079,51.89131,5065.83918,32.74674,3955.20777,32.74674,899.08257,22.07095,7207.77118,1.3866
4778.73718,51.89131,5092.28278,32.74674,3981.65138,32.74674,925.52617,22.12227,7181.32758,1.64323
4752.29358,51.89131,5118.72639,32.74674,4008.09498,32.74674,951.96978,22.12227,7154.88397,1.89986
4725.84997,51.89131,5145.16999,32.74674,4034.53859,32.74674,978.41338,22.12227,7132.21802,2.20782
4699.40637,51.89131,5171.6136,32.74674,4060.98219,32.74674,1004.85699,22.22493,7105.77442,2.41312
4672.96276,51.89131,5198.0572,32.74674,4087.4258,32.74674,1031.30059,22.22493,7079.33081,2.72108
4646.51916,51.89131,5224.50081,32.74674,4113.8694,32.74674,1057.7442,22.27625,7052.88721,2.92638
4620.07555,51.89131,5250.94441,32.74674,4140.31301,32.74674,1084.1878,22.3789,7026.4436,3.18301
4593.63195,51.89131,5277.38802,32.74674,4166.75661,32.74674,1110.63141,22.3789,7000,3.43964
4567.18834,51.89131,5303.83162,32.74674,4193.20022,32.74674,1137.07501,22.48155,6973.5564,3.69627
4540.74474,51.89131,5330.27523,32.74674,4219.64382,32.74674,1163.51862,22.48155,6947.11279,3.90157
4514.30113,51.89131,5356.71883,32.74674,4246.08743,32.74674,1189.96222,22.58421,6920.66919,4.1582
4487.85753,51.89131,5383.16244,32.74674,4272.53103,32.74674,1216.40583,22.58421,6894.22558,4.31218
4461.41392,51.89131,5409.60604,32.74674,4298.97464,32.74674,1242.84943,22.63553,6867.78198,4.56881
4434.97032,51.89131,5436.04965,32.74674,4325.41824,32.74674,1269.29304,22.73818,6841.33837,4.72279
4408.52671,51.89131,5462.49325,32.74674,4351.86185,32.74674,1295.73664,22.84084,6814.89477,5.03074
4382.08311,51.89131,5488.93686,32.74674,4378.30545,32.74674,1322.18025,22.89216,6788.45116,5.18472
4355.6395,51.89131,5515.38046,32.74674,4404.74906,32.74674,1348.62385,22.99481,6762.00756,5.3387
4329.1959,51.89131,5541.82407,32.74674,4431.19266,32.74674,1375.06746,23.04614,6735.56395,5.59533
4302.75229,51.89131,5568.26767,32.74674,4457.63627,32.74674,1401.51106,23.09747,6709.12035,5.85196
4276.30869,51.89131,5594.71128,32.43878,4484.07987,32.74674,1427.95467,23.25144,6682.67674,6.05726
4249.86508,51.89131,5613.59957,32.0795,4510.52348,32.74674,1454.39827,23.25144,6656.23314,6.26256
4223.42148,51.89131,5628.7102,31.72022,4536.96708,32.74674,1480.84188,23.3541,6629.78953,6.51919
4196.97787,51.89131,5640.04317,31.36094,4563.41069,32.74674,1507.28548,23.45675,6603.34593,6.67317
4170.53427,51.89131,5655.1538,31.00166,4589.85429,32.74674,1533.72909,23.5594,6576.90232,6.9298
4144.09066,51.89131,5666.48678,30.64238,4616.2979,32.74674,1560.17269,23.5594,6550.45872,7.08378
4117.64706,51.83998,5681.59741,30.28309,4642.7415,32.74674,1586.6163,23.7647,6524.01511,7.28908
4091.20345,51.89131,5692.93038,29.92381,4669.18511,32.74674,1613.0599,23.81603,6497.57151,7.49439
4064.75985,51.89131,5711.81867,29.56453,4695.62871,32.74674,1639.50351,23.86735,6471.1279,7.59704
4038.31624,51.89131,5726.9293,29.20525,4722.07232,32.74674,1665.94711,24.02133,6444.6843,7.85367
4011.87264,51.89131,5742.03994,28.84597,4748.51592,32.74674,1692.39072,24.07266,6418.24069,8.00765
3985.42903,51.89131,5764.70588,28.48669,4774.95953,32.74674,1718.83432,24.17531,6391.79709,8.21295
3958.98543,51.89131,5776.03886,28.12741,4801.40313,32.74674,1745.27793,24.32929,6365.35348,8.41825
3932.54182,51.89131,5794.92715,27.76812,4827.84674,32.74674,1771.72153,24.43194,6338.90988,8.57223
3906.09822,51.89131,5817.59309,27.40884,4854.29034,32.74674,1798.16514,24.48327,6312.46627,8.72621
3879.65461,51.89131,5832.70372,27.04956,4880.73394,32.74674,1824.60874,24.63724,6286.02267,8.98284
3853.21101,51.89131,5851.59201,26.69028,4907.17755,32.69541,1851.05235,24.7399,6259.57906,9.13682
3826.7674,51.89131,5870.4803,26.331,4926.06584,32.33613,1877.49595,24.79122,6233.13546,9.29079
3800.3238,51.89131,5881.81328,25.97172,4948.73179,32.02818,1903.93956,24.99652,6206.69185,9.4961
3773.88019,51.89131,5904.47922,25.61244,4971.39773,31.72022,1930.38316,24.99652,6180.24825,9.65007
3747.43659,51.89131,5927.14517,25.25315,4997.84134,31.36094,1956.82677,25.09918,6153.80464,9.80405
3720.99298,51.89131,5953.58877,24.89387,5024.28494,31.05298,1983.27037,25.30448,6127.36104,10.00936
3694.54938,51.78865,5968.69941,24.53459,5046.95089,30.6937,2009.71398,25.40713,6100.91743,10.16333
3668.10577,51.78865,5987.5877,24.17531,5073.3945,30.38575,2036.15758,25.45846,6074.47383,10.26599
3641.66217,51.78865,6010.25364,23.81603,5096.06044,30.02646,2062.60119,25.66376,6048.03022,10.52262
3615.21856,51.78865,6036.69725,23.45675,5122.50405,29.66718,2089.04479,25.76641,6021.58662,10.67659
3588.77496,51.78865,6059.36319,23.09747,5148.94765,29.3079,2115.4884,25.92039,5995.14301,10.83057
3562.33135,51.78865,6082.02914,22.73818,5175.39126,28.94862,2141.932,25.97172,5968.69941,11.03587
3535.88775,51.78865,6100.91743,22.3789,5198.0572,28.64067,2168.37561,26.1257,5942.2558,11.13853
3509.44414,51.78865,6123.58338,22.01962,5224.50081,28.28138,2194.81921,26.27967,5915.8122,11.34383
3483.00054,51.78865,6150.02698,21.66034,5247.16676,27.9221,2221.26282,26.43365,5889.36859,11.44648
3456.55693,51.78865,6172.69293,21.30106,5273.61036,27.61415,2247.70642,26.5363,5862.92499,11.65179
3430.11333,51.78865,6199.13654,20.94178,5300.05397,27.25487,2274.15003,26.58763,5836.48138,11.80576
3403.66972,51.78865,6221.80248,20.5825,5322.71991,26.89558,2300.59363,26.74161,5810.03778,11.95974
3377.22612,51.78865,6248.24609,20.32587,5349.16352,26.5363,2327.03724,26.89558,5783.59417,12.11372
3350.78251,51.78865,6270.91203,19.96658,5375.60712,26.17702,2353.48084,27.04956,5757.15057,12.31902
3324.33891,51.78865,6293.57798,19.6073,5402.05073,25.86907,2379.92445,27.20354,5730.70696,12.473
3297.8953,51.78865,6320.02159,19.29935,5424.71668,25.50978,2406.36805,27.35752,5704.26336,12.57565
3271.4517,51.78865,6346.46519,18.99139,5447.38262,25.1505,2432.81166,27.51149,5677.81975,12.72963
3245.00809,51.78865,6369.13114,18.63211,5473.82623,24.79122,2459.25526,27.66547,5651.37615,12.83228
3218.56449,51.686,6395.57474,18.27283,5496.49217,24.43194,2485.69887,27.76812,5624.93254,12.98626
3192.12089,51.53203,6422.01835,17.91355,5519.15812,24.07266,2512.14247,27.97343,5598.48894,13.19156
3165.67728,51.37805,6448.46195,17.55427,5545.60173,23.71338,2538.58608,28.07608,5572.04533,13.39687
3139.23368,51.12142,6474.90556,17.24631,5572.04533,23.3541,2565.02968,28.23006,5545.60173,13.49952
3112.79007,50.91611,6501.34916,16.88703,5598.48894,23.04614,2591.47329,28.38404,5519.15812,13.6535
3086.34647,50.71081,6527.79277,16.57907,5621.15488,22.68686,2617.91689,28.48669,5492.71452,13.75615
3059.90286,50.50551,6554.23637,16.27112,5647.59849,22.3789,2644.3605,28.64067,5466.27091,13.91013
3033.45926,50.35153,6580.67998,15.96316,5674.04209,22.01962,2670.8041,28.89729,5439.82731,14.01278
3007.01565,50.19755,6607.12358,15.70653,5696.70804,21.66034,2697.24771,28.99995,5413.3837,14.21808
2980.57205,50.04357,6633.56719,15.50123,5723.15165,21.30106,2723.69131,29.1026,5386.9401,14.37206
2954.12844,49.83827,6660.01079,15.19327,5749.59525,20.9931,2750.13492,29.25658,5360.49649,14.52604
2927.68484,49.58164,6686.4544,14.83399,5776.03886,20.63382,2776.57852,29.41055,5334.05289,14.68001
2901.24123,49.37634,6712.898,14.57736,5802.48246,20.27454,2803.02213,29.61586,5307.60928,14.83399
2874.79763,49.27368,6739.34161,14.37206,5828.92607,19.96658,2829.46573,29.82116,5281.16568,14.93664
2848.35402,48.96573,6765.78521,14.0641,5855.36967,19.6073,2855.90934,29.92381,5254.72207,15.09062
2821.91042,48.81175,6792.22882,13.8588,5881.81328,19.24802,2882.35294,30.02646,5228.27847,15.19327
2795.46681,48.65777,6818.67242,13.55084,5908.25688,18.88874,2908.79655,30.18044,5201.83486,15.34725
2769.02321,48.40114,6845.11603,13.34554,5934.70049,18.58078,2935.24015,30.43707,5175.39126,15.4499
2742.5796,48.19584,6871.55963,13.03759,5961.14409,18.2215,2961.68376,30.53972,5148.94765,15.65521
2716.136,48.09319,6898.00324,12.78096,5987.5877,17.86222,2988.12736,30.6937,5122.50405,15.75786
2689.69239,47.93921,6924.44684,12.473,6014.0313,17.55427,3014.57097,30.95033,5096.06044,15.96316
2663.24879,47.63126,6950.89045,12.2677,6040.47491,17.19499,3041.01457,31.15564,5069.61684,16.11714
2636.80518,47.42595,6977.33405,12.01107,6066.91851,16.8357,3067.45818,31.20696,5043.17323,16.16847
2610.36158,47.3233,7003.77766,11.75444,6093.36212,16.57907,3093.90178,31.51492,5016.72963,16.32244
2583.91797,47.118,7030.22126,11.60046,6119.80572,16.27112,3120.34539,31.72022,4990.28602,16.47642
2557.47437,46.96402,7056.66487,11.34383,6146.24933,15.91184,3146.78899,31.8742,4963.84242,16.57907
2531.03076,46.70739,7083.10847,11.18985,6172.69293,15.65521,3173.2326,32.0795,4937.39881,16.68173
2504.58716,46.50209,7109.55208,10.98455,6199.13654,15.39858,3199.6762,32.18215,4910.95521,16.8357
2478.14355,46.34811,7135.99568,10.77925,6225.58014,15.0393,3226.11981,32.43878,4884.5116,16.98968
2451.69995,46.09148,7162.43929,10.57394,6252.02375,14.78267,3252.56341,32.59276,4858.068,17.09233
2425.25634,45.9375,7188.88289,10.36864,6278.46735,14.52604,3279.00702,32.69541,4831.62439,17.24631
2398.81274,45.78352,7215.3265,10.21466,6304.91096,14.21808,3305.45062,32.69541,4805.18079,17.40029
2372.36913,45.57822,7241.7701,10.06068,6331.35456,13.96145,3331.89423,32.69541,4778.73718,17.50294
2345.92553,45.32159,7268.21371,9.85538,6357.79817,13.6535,3358.33783,32.69541,4752.29358,17.60559
2319.48192,45.16761,7294.65731,9.7014,6384.24177,13.44819,3384.78144,32.69541,4725.84997,17.75957
2293.03832,45.01363,7321.10092,9.54742,6410.68538,13.19156,3411.22504,32.69541,4699.40637,17.8109
2266.59471,44.80833,7347.54452,9.34212,6437.12898,12.93493,3437.66865,32.69541,4672.96276,17.96487
2240.15111,44.60303,7373.98813,9.18814,6463.57258,12.72963,3464.11225,32.69541,4646.51916,18.06753
2213.7075,44.39772,7400.43173,9.03416,6490.01619,12.42167,3490.55586,32.69541,4620.07555,18.2215
2191.04155,44.03844,7426.87534,8.82886,6516.45979,12.16504,3516.99946,32.69541,4593.63195,18.32416
2164.59795,43.73049,7453.31894,8.67488,6542.9034,11.95974,3543.44307,32.69541,4567.18834,18.42681
2138.15434,43.42253,7479.76255,8.5209,6569.347,11.75444,3569.88667,32.69541,4540.74474,18.52946
2111.71074,43.1659,7506.20615,8.36693,6595.79061,11.54913,3596.33028,32.69541,4514.30113,18.58078
2085.26713,42.9606,7532.64976,8.21295,6622.23421,11.34383,3622.77388,32.69541,4487.85753,18.68344
2058.82353,42.65264,7559.09336,8.00765,6648.67782,11.13853,3649.21749,32.69541,4461.41392,18.78609
2032.37992,42.39601,,,6675.12142,10.8819,3675.66109,32.69541,4434.97032,18.94007
2005.93632,42.19071,,,6701.56503,10.62527,3702.1047,32.69541,4408.52671,18.99139
1979.49271,41.93408,,,6728.00863,10.41996,3728.5483,32.69541,4382.08311,19.09404
1953.04911,41.67745,,,6754.45224,10.26599,3754.99191,32.69541,4355.6395,19.24802
1926.6055,41.52347,,,6780.89584,10.00936,3781.43551,32.69541,4329.1959,19.35067
1900.1619,41.36949,,,6807.33945,9.80405,3807.87911,32.69541,4302.75229,19.45333
1873.71829,41.11286,,,6833.78305,9.65007,3834.32272,32.69541,4276.30869,19.55598
1847.27469,40.95889,,,6860.22666,9.44477,3860.76632,32.54143,4249.86508,19.6073
1820.83108,40.80491,,,6886.67026,9.23947,3887.20993,32.43878,4223.42148,19.70996
1794.38748,40.70226,,,6913.11387,9.08549,3913.65353,32.28481,4196.97787,19.81261
1767.94387,40.54828,,,6939.55747,8.88019,3940.09714,32.02818,4170.53427,19.91526
1741.50027,40.3943,,,6966.00108,8.72621,3966.54074,31.8742,4144.09066,19.96658
1715.05666,40.24032,,,6992.44468,8.57223,3992.98435,31.72022,4117.64706,20.01791
1688.61306,40.189,,,7018.88829,8.41825,4019.42795,31.51492,4091.20345,20.17189
1662.16945,40.03502,,,7045.33189,8.21295,4045.87156,31.25829,4064.75985,20.27454
1635.72585,39.93237,,,7071.7755,8.1103,4072.31516,31.05298,4038.31624,20.32587
1609.28225,39.88104,,,7098.2191,7.90499,4098.75877,30.84768,4011.87264,20.42852
1582.83864,39.72706,,,7124.66271,7.75102,4125.20237,30.64238,3985.42903,20.47984
1556.39504,39.57309,,,7151.10631,7.69969,4151.64598,30.43707,3958.98543,20.5825
1529.95143,39.41911,,,7177.54992,7.54571,4178.08958,30.28309,3932.54182,20.68515
1503.50783,39.26513,,,7203.99352,7.49439,4204.53319,30.07779,3906.09822,20.7878
1477.06422,39.11115,,,7230.43713,7.28908,4230.97679,29.92381,3879.65461,20.83913
1450.62062,38.90585,,,7256.88073,7.18643,4257.4204,29.66718,3853.21101,20.89045
1424.17701,38.70055,,,7283.32434,7.1351,4283.864,29.41055,3826.7674,20.89045
1397.73341,38.39259,,,7309.76794,7.03245,4310.30761,29.25658,3800.3238,21.04443
1378.84512,38.03331,,,7336.21155,6.9298,4336.75121,28.94862,3773.88019,21.09575
1356.17917,37.67403,,,7362.65515,6.9298,4363.19482,28.74332,3747.43659,21.19841
1341.06854,37.31475,,,7389.09876,6.77582,4389.63842,28.53801,3720.99298,21.19841
1322.18025,36.95546,,,7415.54236,6.77582,4416.08203,28.38404,3694.54938,21.19841
1299.5143,36.59618,,,7441.98597,6.67317,4442.52563,28.12741,3668.10577,21.24973
1276.84835,36.2369,,,7468.42957,6.67317,4468.96924,27.9221,3641.66217,21.30106
1257.96006,35.87762,,,7494.87318,6.67317,4495.41284,27.76812,3615.21856,21.30106
1239.07178,35.51834,,,,,4521.85645,27.51149,3588.77496,21.30106
1216.40583,35.15906,,,,,4548.30005,27.25487,3562.33135,21.30106
1189.96222,34.79978,,,,,4574.74366,27.04956,3535.88775,21.35238
1167.29628,34.44049,,,,,4601.18726,26.89558,3509.44414,21.35238
1144.63033,34.08121,,,,,4623.85321,26.58763,3483.00054,21.30106
1121.96438,33.72193,,,,,4650.29682,26.38232,3456.55693,21.30106
1095.52078,33.36265,,,,,4676.74042,26.17702,3430.11333,21.30106
1069.07717,33.00337,,,,,4703.18403,25.86907,3403.66972,21.30106
1042.63357,32.64409,,,,,4729.62763,25.71509,3377.22612,21.30106
1016.18996,32.28481,,,,,4756.07124,25.45846,3350.78251,21.30106
989.74636,31.97685,,,,,4782.51484,25.25315,3324.33891,21.19841
963.30275,31.66889,,,,,4808.95845,24.99652,3297.8953,21.19841
936.85915,31.30961,,,,,4835.40205,24.84255,3271.4517,21.19841
910.41554,31.05298,,,,,4861.84566,24.58592,3245.00809,21.24973
883.97194,30.84768,,,,,4888.28926,24.32929,3218.56449,21.09575
857.52833,30.59105,,,,,4914.73287,24.07266,3192.12089,21.09575
831.08473,30.53972,,,,,4941.17647,23.81603,3165.67728,21.04443
804.64112,30.43707,,,,,4967.62008,23.5594,3139.23368,21.04443
4903.39989,51.42937,,,,,4994.06368,23.3541,3112.79007,20.94178
4914.73287,51.07009,,,,,5020.50729,23.09747,3086.34647,20.94178
4933.62115,50.71081,,,,,5046.95089,22.89216,3059.90286,20.94178
4944.95413,50.35153,,,,,5073.3945,22.58421,3033.45926,20.89045
4960.06476,49.99225,,,,,5099.8381,22.3789,3007.01565,20.89045
4978.95305,49.63297,,,,,5126.28171,22.07095,2980.57205,20.7878
4997.84134,49.27368,,,,,5152.72531,21.86564,2954.12844,20.73647
5009.17431,48.9144,,,,,5179.16892,21.50636,2927.68484,20.68515
5024.28494,48.55512,,,,,5205.61252,21.24973,2901.24123,20.63382
5035.61792,48.19584,,,,,5232.05613,20.9931,2874.79763,20.5825
5050.72855,47.83656,,,,,5258.49973,20.7878,2848.35402,20.53117
5065.83918,47.47728,,,,,5284.94334,20.42852,2821.91042,20.47984
5088.50513,47.118,,,,,5311.38694,20.17189,2795.46681,20.42852
5103.61576,46.75871,,,,,5337.83055,19.86393,2769.02321,20.42852
5122.50405,46.39943,,,,,5364.27415,19.6073,2742.5796,20.32587
5137.61468,46.04015,,,,,5390.71775,19.29935,2716.136,20.27454
5160.28063,45.68087,,,,,5417.16136,19.04272,2689.69239,20.22321
5179.16892,45.32159,,,,,5443.60496,18.73476,2663.24879,20.17189
5194.27955,44.96231,,,,,5470.04857,18.52946,2636.80518,20.12056
5213.16784,44.60303,,,,,5496.49217,18.17018,2610.36158,20.06924
5235.83378,44.24374,,,,,5522.93578,17.91355,2583.91797,20.01791
5250.94441,43.88446,,,,,5549.37938,17.60559,2557.47437,20.01791
5269.8327,43.52518,,,,,5575.82299,17.34896,2531.03076,19.91526
5292.49865,43.1659,,,,,5602.26659,16.98968,2504.58716,19.86393
5311.38694,42.80662,,,,,5628.7102,16.73305,2478.14355,19.76128
5326.49757,42.44734,,,,,5655.1538,16.52775,2451.69995,19.70996
5349.16352,42.08806,,,,,5681.59741,16.16847,2425.25634,19.65863
5371.82947,41.72877,,,,,5708.04101,15.86051,2398.81274,19.55598
5386.9401,41.36949,,,,,5734.48462,15.55256,2372.36913,19.50465
5409.60604,41.01021,,,,,5760.92822,15.34725,2345.92553,19.45333
5428.49433,40.65093,,,,,5787.37183,15.0393,2319.48192,19.35067
5443.60496,40.29165,,,,,5813.81543,14.83399,2293.03832,19.24802
5462.49325,39.93237,,,,,5840.25904,14.52604,2266.59471,19.24802
5485.1592,39.57309,,,,,5866.70264,14.26941,2240.15111,19.14537
5504.04749,39.2138,,,,,5893.14625,14.01278,2213.7075,19.04272
5522.93578,38.85452,,,,,5919.58985,13.70482,2187.2639,18.88874
5545.60173,38.49524,,,,,5946.03346,13.49952,2160.82029,18.88874
5568.26767,38.13596,,,,,5972.47706,13.29422,2134.37669,18.78609
5587.15596,37.77668,,,,,5998.92067,12.98626,2107.93308,18.68344
5609.82191,37.4174,,,,,6025.36427,12.78096,2081.48948,18.52946
5624.93254,37.05812,,,,,6051.80788,12.473,2055.04587,18.47813
5651.37615,36.69883,,,,,6078.25148,12.2677,2028.60227,18.42681
5677.81975,36.33955,,,,,6104.69509,12.06239,2002.15866,18.32416
5704.26336,35.98027,,,,,6131.13869,11.80576,1975.71506,18.17018
5719.37399,35.62099,,,,,6157.5823,11.54913,1949.27145,18.06753
5745.81759,35.31303,,,,,6184.0259,11.34383,1922.82785,17.96487
5772.2612,35.00508,,,,,6210.46951,11.03587,1896.38424,17.86222
5798.7048,34.69712,,,,,6236.91311,10.83057,1869.94064,17.70824
5821.37075,34.33784,,,,,6263.35672,10.62527,1843.49703,17.60559
5847.81436,33.97856,,,,,6289.80032,10.41996,1817.05343,17.55427
5870.4803,33.61928,,,,,6316.24393,10.21466,1790.60982,17.34896
5893.14625,33.26,,,,,6342.68753,10.00936,1764.16622,17.24631
5919.58985,32.90072,,,,,6369.13114,9.85538,1737.72261,17.19499
5946.03346,32.54143,,,,,6395.57474,9.59875,1711.27901,17.04101
5972.47706,32.18215,,,,,6422.01835,9.44477,1684.8354,16.93836
5987.5877,31.82287,,,,,6448.46195,9.23947,1658.3918,16.88703
6006.47598,31.46359,,,,,6474.90556,9.08549,1631.94819,16.73305
6021.58662,31.10431,,,,,6501.34916,8.88019,1605.50459,16.73305
6032.91959,30.74503,,,,,6527.79277,8.62356,1579.06098,16.6304
6048.03022,30.38575,,,,,6554.23637,8.5209,1552.61738,16.47642
6070.69617,30.02646,,,,,6580.67998,8.26428,1526.17377,16.37377
6082.02914,29.66718,,,,,6607.12358,8.1103,1499.73017,16.27112
6100.91743,29.3079,,,,,6633.56719,7.95632,1473.28656,16.32244
6116.02806,28.94862,,,,,6660.01079,7.75102,1446.84296,16.21979
6134.91635,28.58934,,,,,6686.4544,7.59704,1420.39935,16.11714
6150.02698,28.23006,,,,,6712.898,7.44306,1393.95575,16.06581
6168.91527,27.87078,,,,,6739.34161,7.28908,1367.51214,15.91184
6187.80356,27.51149,,,,,6765.78521,7.08378,1341.06854,15.86051
6202.91419,27.15221,,,,,6792.22882,6.98113,1314.62493,15.80919
6225.58014,26.79293,,,,,6818.67242,6.82715,1288.18133,15.75786
6240.69077,26.43365,,,,,6845.11603,6.7245,1261.73772,15.75786
6259.57906,26.07437,,,,,6871.55963,6.57052,1235.29412,15.75786
6282.24501,25.71509,,,,,6898.00324,6.41654,1208.85051,15.70653
6297.35564,25.35581,,,,,6924.44684,6.26256,1182.40691,15.65521
6320.02159,24.99652,,,,,6950.89045,6.10859,1155.9633,15.65521
6338.90988,24.63724,,,,,6977.33405,6.00593,1129.5197,15.55256
6361.57582,24.27796,,,,,7003.77766,5.85196,1103.07609,15.55256
6380.46411,23.91868,,,,,7030.22126,5.80063,1076.63249,15.60388
6399.3524,23.5594,,,,,7056.66487,5.69798,1050.18888,15.65521
6418.24069,23.20012,,,,,7083.10847,5.59533,1023.74528,15.65521
6440.90664,22.84084,,,,,7109.55208,5.44135,997.30167,15.65521
6467.35024,22.48155,,,,,7135.99568,5.39002,970.85807,15.65521
6490.01619,22.12227,,,,,7162.43929,5.28737,944.41446,15.70653
6508.90448,21.76299,,,,,7188.88289,5.23605,917.97086,15.75786
6527.79277,21.40371,,,,,7215.3265,5.13339,891.52725,15.91184
6550.45872,21.04443,,,,,7241.7701,5.08207,865.08365,16.01449
6573.12466,20.68515,,,,,7268.21371,4.92809,838.64004,16.16847
6599.56827,20.37719,,,,,7294.65731,4.92809,812.19644,16.37377
6618.45656,20.01791,,,,,7321.10092,4.82544,789.53049,16.68173
6644.90016,19.65863,,,,,7347.54452,4.82544,,
6671.34377,19.35067,,,,,7373.98813,4.77411,,
6697.78737,18.99139,,,,,7400.43173,4.72279,,
6724.23098,18.68344,,,,,7426.87534,4.67146,,
6750.67458,18.37548,,,,,7453.31894,4.67146,,
6777.11819,18.0162,,,,,7479.76255,4.67146,,
6803.56179,17.70824,,,,,7506.20615,4.67146,,
