dtegd,tgtsite,alpha,delaz,drag,egflg,hls,lod,rdot,roll,trange,ve,vi,xlfac,cd,mm304ph,mm304al,ital,aclam,aclim,acmd1,aldref,alpcmd,rolcmd,spdbcmd,alpdot,a_0,a_1,a_2,cag,cdcal,cq1_0,cq1_1,cq1_2,cq2_0,cq2_1,cq2_2,cq3_0,cq3_1,cq3_2,c16,c17,c2,d23,ddp,delalp,dlrdot,drdd,drefp,drefp1,drefp3,drefp4,drefp5,dx_0,dx_1,dx_2,dzold,eef,eg_end,eowd,hs,ialp,ict,idbchg,islect,itran,lmflg,lmn,lodv,lodx,n_quad_seg,q_0,q_1,q_2,q_3,rcg,rcg1,rdealf,rdtref,rdtrf1,rdtrft,req1,rer1,rf_0,rf_1,rf_2,rff1,rdtrf,rk2rol,rk2rlp,rlm,rollc_0,rollc_1,rollc_2,rollc_3,rolref,rpt,rrflag,start,t2,t2dot,vb2,vcg,ve2,vf_0,vf_1,vf_2,vo_0,vo_1,vo_2,vq2,vsat2,vsit2,vtrb,vx_0,vx_1,vx_2,xlod,zk,tran2f_nom,tran3f_nom,tran4f_nom,tran5f_nom,tran5f_vtran,tran3f_vb1,tran3f_drefp4,tran4f_alfm,tran4f_drefp4,dummy,tgtsite0,
2,Edwards,40,-2.45579012488179,0.0253966093849082,0,399196.959116592,0.22673723631306,-521.252174797537,0,4418.35092207246,24547.38360114,25719.1156491824,0.0264857149524972,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604015340.094267,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314130783.793375,False,9763497.97331307,22398.4961887233,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.0514861039411,0.000626360370673318,361000000,10499,602574041.661515,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45539006544246,0.0261638213960443,0,398154.507759762,0.227796308462732,-521.198677559269,0,4410.45720786423,24548.6763877748,25720.3215795293,0.0272961156010613,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604078732.253159,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314128979.32851,False,9763441.88874587,22397.2751517467,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.0725077470306,0.0105108215447469,361000000,10499,602637512.391694,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45496744298042,0.0269572463463878,0,397112.166757853,0.228911387246405,-521.141817121351,0,4402.56622585798,24549.9673649082,25721.5258823436,0.028135087498585,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604142039.018208,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314127135.662295,False,9763384.58576164,22396.0558238442,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.0936034295907,0.0105478412800197,361000000,10499,602700897.618056,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45458140732175,0.0277790804007545,0,396069.942856361,0.230085201784468,-521.081573117162,0,4394.67093635002,24551.256435335,25722.7284941866,0.0290050462314311,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604205255.6083,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314125250.618249,False,9763325.99671314,22394.8382968261,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.1147912175279,0.0105938939686014,361000000,10499,602764192.553576,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45421324650612,0.0286316408403691,0,395027.842840125,0.231320676162578,-521.017927510711,0,4386.77466778602,24552.5437124664,25723.9293492417,0.0299085480297822,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604268387.57086,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314123327.191825,False,9763266.21470209,22393.6224635755,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.1360634029759,0.0106360927240017,361000000,10499,602827402.752573,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45382240112608,0.0295171790554207,0,393985.873535603,0.232620860502744,-520.950857678116,0,4378.88131026322,24553.8286307916,25725.1283753383,0.0308480988228077,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604331407.155489,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314121351.710275,False,9763204.81476579,22392.4088582174,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.1574100296724,0.0106733133482519,361000000,10499,602890500.43028,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45346900023316,0.03043945162116,0,392944.041815938,0.233991082792763,-520.880338353457,0,4370.98349336858,24555.1117351845,25726.3254948863,0.0318278198588042,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604394341.06977,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314119337.765083,False,9763142.21934118,22391.1969661183,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.1788508796762,0.0107204250019137,361000000,10499,602953512.327394,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.4531462291235,0.0314046521776282,0,391902.354610011,0.235442466794551,-520.806337625537,0,4363.08487294582,24556.3922147115,25727.5206202339,0.0328544750284532,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604457149.521818,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314117265.658595,False,9763077.81620546,22389.987553205,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.2003763817131,0.0107627510184427,361000000,10499,603016398.602744,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45280224332698,0.0324155619389823,0,390860.818916708,0.236978342960762,-520.728819032956,0,4355.18901441899,24557.6706930142,25728.7136540242,0.0339312036314475,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604519863.08393,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314115150.921092,False,9763012.08805531,22388.780030448,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.2219785033894,0.010801060838153,361000000,10499,603079189.866531,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
2,Edwards,40,-2.45250960864561,0.0334747897549849,0,389819.441805816,0.238601664040475,-520.64774895386,0,4347.28878033246,24558.9470823372,25729.9044933147,0.0350609881333809,0,0,40,False,43,37,40,0.5,40,0,0,0,0,-3.4573,-4.76,604582477.435724,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,1,0,0,314112991.617179,False,9762944.97473672,22387.5744807325,7,False,False,1,False,False,0,0.5,0.5,0,0,0,0,0,0,1076.97466953757,0,0,0,0,0,0,0,0,0,0,0,-1,-1,90,0,0,0,0,0,387.625756653778,False,1,10.243676032575,0.0108487645927848,361000000,10499,603141881.793038,0,22000,0,0,19000,22000,110229001,663897062.44,542121372.25,60000,0,27637,27637,0.5,0,False,False,False,False,False,False,False,False,False,0,Edwards,
