step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.992999999999,7838.81815590233,7478.19260085519,-158.892944394865,8150.84379433269,-4.23277746905714,31.9296770337485,150.841929713656,40,0,0,0,-0.0128424643049182,0.020774779017445,0,0,1,
2,2,121.675228832638,7839.18758546567,7478.56548022012,-158.878071468503,8150.84381107997,-4.2301776768414,31.9891325305041,150.980777599836,40,0,0,0,0.227920874011052,0.0230909965363243,0,0,1,
3,4,121.357488422599,7839.55656805865,7478.93793860884,-158.862186231875,8136.21244641083,-4.23759219680936,32.0484274891113,151.119827973753,40,0,0,0,0.228829210888118,0.0238046763232777,0,0,1,
4,6,121.039780799264,7839.92508814974,7479.30996068648,-158.845283836502,8121.57983640381,-4.24503461555778,32.1075506688855,151.259087199174,40,0,0,0,0.229789032902532,0.0245435650159005,0,0,1,
5,8,120.722108001673,7840.29312763819,7479.68152857095,-158.827359395351,8106.94608959285,-4.25251194405487,32.166512497775,151.398549523409,40,0,0,0,0.230802643849701,0.0253097498072025,0,0,1,
6,10,120.404472080071,7840.6606662982,7480.05262222875,-158.808406898364,8092.31105300981,-4.26002178952689,32.2253080252445,151.538217941151,40,0,0,0,0.231872417072799,0.026105493011195,0,0,1,
7,12,120.086875096846,7841.02768293713,7480.42322064609,-158.788419874931,8077.67474636413,-4.26756470608554,32.2839352454916,151.678090479716,40,0,0,0,0.23300074050013,0.0269330099522322,0,0,1,
8,14,119.769319127506,7841.39415502358,7480.79330150168,-158.767391607582,8063.03742116672,-4.2751450592619,32.3423953326655,151.818169666033,40,0,0,0,0.234192834300247,0.0277958286057325,0,0,1,
9,16,119.451806262678,7841.76005671078,7481.1628391376,-158.745313699856,8048.39878400182,-4.28276188645597,32.4006859054605,151.958455139833,40,0,0,0,0.23545903299113,0.0286997957165409,0,0,1,
10,18,119.134338611851,7842.1253595485,7481.53180529633,-158.722175888618,8033.75897617613,-4.29041330990052,32.4588072042099,152.098947430592,40,0,0,0,0.236802160419014,0.0296476732138887,0,0,1,
11,20,118.816918303739,7842.49003333643,7481.90016996404,-158.697969014426,8019.1179179024,-4.29810168239869,32.5167602305368,152.23964370698,40,0,0,0,0.238224729018855,0.0306419470325335,0,0,1,
12,22,118.499547488537,7842.85404661322,7482.26790185166,-158.672681009795,8004.47575826765,-4.30582533870924,32.5745425750447,152.380547682397,40,0,0,0,0.23972864208177,0.0316852636745132,0,0,1,
13,24,118.182228339125,7843.2173658506,7482.63496761873,-158.64630088701,7989.83230903425,-4.31358547508606,32.6321516811451,152.521657718387,40,0,0,0,0.241316067327559,0.0327802496601558,0,0,1,
14,26,117.864963052501,7843.57995611007,7483.00133249184,-158.618816005191,7975.18782163886,-4.32138263293031,32.6895915228268,152.662974374767,40,0,0,0,0.2429887966131,0.0339295156489903,0,0,1,
15,28,117.547753852267,7843.94178129577,7483.36696055916,-158.590212093824,7960.54200318725,-4.32921802565053,32.7468572775064,152.804497566719,40,0,0,0,0.244738596630599,0.0351357866178209,0,0,1,
16,30,117.230602989472,7844.30280265222,7483.73181322977,-158.560475871427,7945.89510547777,-4.33708935762905,32.8039531803879,152.946225089303,40,0,0,0,0.246570417092282,0.036401716130257,0,0,1,
