step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.992999999999,7846.99946114688,7490.56210089586,-164.867979711826,8048.19677811425,5.06944640026269,-0.70672274399162,174.289911673798,40,0,0,0,-0.0128595669681927,0.0208354403615597,0,0,1,
2,2,121.663317736056,7847.3827999844,7490.96334353598,-164.81412483115,8048.19678590981,5.06095171773237,-0.617728320636317,174.387639496475,40,0,0,0,0.228045399583401,0.0231896122768369,0,0,1,
3,4,121.333744241196,7847.76558149246,7491.3639495438,-164.759209925197,8033.55928663809,5.06452013425482,-0.528722881431847,174.485373888174,40,0,0,0,0.228989014798061,0.0239338703989233,0,0,1,
4,6,121.004281639034,7848.14778906414,7491.76390218309,-164.703230970132,8018.92038356263,5.06820278807787,-0.439706833081601,174.583116075854,40,0,0,0,0.229988241908577,0.0247052136940688,0,0,1,
5,8,120.674932063734,7848.52940288395,7492.16318151232,-164.646182435407,8004.28002049538,5.07185879065288,-0.350680365283267,174.68086605344,40,0,0,0,0.231045126518415,0.0255061616281393,0,0,1,
6,10,120.345697660448,7848.91040148712,7492.56176594095,-164.588057595693,7989.63823593706,5.07553456234641,-0.261643834376798,174.77862517472,40,0,0,0,0.232162664489613,0.0263391322874052,0,0,1,
7,12,120.016580588362,7849.29076211894,7492.95963258189,-164.52884976795,7974.99495910316,5.0792425855159,-0.172597577930304,174.876392949024,40,0,0,0,0.233343363443745,0.0272065967947311,0,0,1,
8,14,119.687583020046,7849.6704600048,7493.35675653013,-164.468552452896,7960.35028140963,5.08298255165641,-0.083541895725034,174.974170195875,40,0,0,0,0.234594668502172,0.0281134101804779,0,0,1,
9,16,119.358707144483,7850.04946645287,7493.75310896151,-164.407155079909,7945.70417565254,5.08675907381597,0.00552289305896636,175.071957914771,40,0,0,0,0.235926512470027,0.0290652808805732,0,0,1,
10,18,119.02995517225,7850.42775053445,7494.1486588122,-164.344647369604,7931.05659999124,5.09057269287117,0.0945964747967309,175.169755588822,40,0,0,0,0.237341373169223,0.0300649708112168,0,0,1,
11,20,118.701329334638,7850.80527967082,7494.5433733619,-164.281018248581,7916.40764662749,5.09442169060895,0.183678534744175,175.267564065891,40,0,0,0,0.238841582164375,0.031115268451737,0,0,1,
12,22,118.372831885217,7851.18201950466,7494.93721811434,-164.21625682488,7901.75728690203,5.09830475477379,0.27276878566316,175.365384891834,40,0,0,0,0.240429776795806,0.0322190734887037,0,0,1,
13,24,118.044465102084,7851.55793384522,7495.33015673665,-164.150349763013,7887.10542844583,5.10221976659012,0.361866894691374,175.463217419282,40,0,0,0,0.242107428648498,0.033379292626815,0,0,1,
14,26,117.716231290874,7851.93298458319,7495.72215097847,-164.083282577491,7872.45217638189,5.1061718353916,0.450972458402717,175.561062861739,40,0,0,0,0.243871233808633,0.0345988028271216,0,0,1,
15,28,117.388132786168,7852.30713192318,7496.11316089733,-164.015040474303,7857.79747563117,5.11016521141901,0.5400852973941,175.658920773891,40,0,0,0,0.245717714126612,0.0358806013587705,0,0,1,
16,30,117.060171952577,7852.68033425997,7496.50314473934,-163.945608458259,7843.14140315396,5.11419081573069,0.629205048867561,175.75679337175,40,0,0,0,0.247658126615636,0.0372276763222987,0,0,1,
17,32,116.732351186442,7853.0525480241,7496.89205878605,-163.874969837544,7828.48381233869,5.11825064414719,0.718331305026226,175.854679077384,40,0,0,0,0.249692895175793,0.0386430798721121,0,0,1,
18,34,116.404672919144,7853.42372778891,7497.2798574578,-163.803106246743,7813.82489578569,5.12234758399207,0.807463878416257,175.952579167264,40,0,0,0,0.251823131018367,0.040129838656319,0,0,1,
19,36,116.077139618583,7853.79382632825,7497.66649337104,-163.729999530882,7799.16457855316,5.12647972205045,0.896602385732677,176.050494803751,40,0,0,0,0.254048551072629,0.0416909331387275,0,0,1,
20,38,115.749753791342,7854.16279443701,7498.05191716055,-163.655629477802,7784.50280876314,5.1306488453153,0.985746474139859,176.148425868573,40,0,0,0,0.256370080968121,0.0433296358361393,0,0,1,
21,40,115.422517985541,7854.53058106847,7498.43607761739,-163.579974123105,7769.83964611765,5.13485206550103,1.07489588699875,176.246373233167,40,0,0,0,0.258784186964525,0.045048322535077,0,0,1,
22,42,115.095434793727,7854.89713324109,7498.81892159744,-163.503011317343,7755.17505612036,5.13909344462197,1.16405033961367,176.344336921052,40,0,0,0,0.261290645191229,0.0468500600417508,0,0,1,
23,44,114.768506855179,7855.26239598961,7499.20039397024,-163.424716467529,7740.50908137271,5.14337084054259,1.2532092973197,176.442318422729,40,0,0,0,0.263892275958692,0.0487389581418119,0,0,1,
24,46,114.44173685847,7855.62631228798,7499.58043753379,-163.345064777643,7725.84165114088,5.14768426920806,1.34237274132975,176.540316578893,40,0,0,0,0.26658526196458,0.0507188785896622,0,0,1,
25,48,114.115127544356,7855.98882122409,7499.9589911956,-163.264028713852,7711.17289515146,5.15202804441965,1.43153990175068,176.638332922714,40,0,0,0,0.269373376571864,0.0527971322719614,0,0,1,
26,50,113.788681710463,7856.34985753345,7500.33598951018,-163.181579310793,7696.50275467997,5.15640492180197,1.52071095752527,176.73636787143,40,0,0,0,0.272258967616277,0.0549802472186064,0,0,1,
27,52,113.462402216013,7856.70935184808,7500.71136291429,-163.097683270165,7681.83120640617,5.16085002928892,1.60988530037292,176.834421886109,40,0,0,0,0.275242808844063,0.0572749695017183,0,0,1,
28,54,113.136291988661,7857.06723091938,7501.08503795694,-163.012305461975,7667.15827589526,5.16531307078284,1.69906260415617,176.93249542319,40,0,0,0,0.278325981281703,0.0596876004075925,0,0,1,
29,56,112.810354027474,7857.42341752164,7501.45693720847,-162.925410216831,7652.48397023121,5.16981278888804,1.78824251610733,177.030588923265,40,0,0,0,0.281508206853724,0.0622244210581222,0,0,1,
30,58,112.484591407943,7857.77783034448,7501.82697914359,-162.836956482925,7637.80829970392,5.17434716788165,1.87742510879509,177.128703946286,40,0,0,0,0.284788326825959,0.0648914513725246,0,0,1,
31,60,112.159007289486,7858.13038474185,7502.1950788913,-162.74690137054,7623.13114681981,5.17892500112122,1.96660949622907,177.226839290486,40,0,0,0,0.288165086584533,0.067694323604332,0,0,1,
32,62,111.833604918496,7858.48099253099,7502.56114804012,-162.655200821043,7608.45270333139,5.18353382490643,2.05579559741734,177.324996490618,40,0,0,0,0.291635791898596,0.0706383148632938,0,0,1,
33,64,111.508387633187,7858.82956243556,7502.9250950714,-162.561807069984,7593.77286429357,5.1881750184687,2.14498309127536,177.423175475699,40,0,0,0,0.295197295031156,0.0737281221980471,0,0,1,
34,66,111.183358870295,7859.17599976837,7503.28682505809,-162.466669377806,7579.09168333824,5.19286333550206,2.2341714702322,177.521377214377,40,0,0,0,0.298845699971897,0.0769682377097924,0,0,1,
35,68,110.858522167516,7859.52020817934,7503.64624139332,-162.369737245088,7564.409134332,5.19759333124352,2.32336052321796,177.619601600076,40,0,0,0,0.302576399857942,0.0803623421847793,0,0,1,
36,70,110.533881168291,7859.86208867443,7504.00324482187,-162.270956077312,7549.72526673923,5.20235213124163,2.41254980707524,177.717849683759,40,0,0,0,0.306384234800654,0.0839133196859739,0,0,1,
37,72,110.209439626542,7860.20154031865,7504.3577341393,-162.170269702965,7535.04004283408,5.20715428439761,2.50173916078919,177.816120699967,40,0,0,0,0.310262857198986,0.0876237609888684,0,0,1,
38,74,109.885201410129,7860.53846113574,7504.7096070954,-162.067620117006,7520.3535672613,5.21199167382469,2.59092825103998,177.91441748994,40,0,0,0,0.314206521019092,0.0914945066020546,0,0,1,
39,76,109.561170504317,7860.87274796218,7505.05876024727,-161.962948366494,7505.66563606452,5.21687089556857,2.68011663400621,178.01273928229,40,0,0,0,0.318211178511018,0.0955291750149456,0,0,1,
40,78,109.237351015449,7861.20429309999,7505.40508560282,-161.85619157425,7490.97637335398,5.22178490222536,2.76930368655503,178.111085975057,40,0,0,0,0.322280621432468,0.0997388506334114,0,0,1,
41,80,108.913747180201,7861.53298135909,7505.74846766247,-161.747282192329,7476.28585582125,5.22673989871554,2.85848982449309,178.209459211174,40,0,0,0,0.326418918268134,0.104135537726585,0,0,1,
42,82,108.590363376966,7861.85869004235,7506.08878340335,-161.636145719282,7461.59393584773,5.23173453421142,2.94767371590908,178.307858152861,40,0,0,0,0.330629369163709,0.108731040827306,0,0,1,
43,84,108.267204137383,7862.18128931082,7506.42590264776,-161.522703716714,7446.90080283201,5.23676731824182,3.0368557338991,178.406284005528,40,0,0,0,0.3349145790288,0.113536858213163,0,0,1,
44,86,107.944274157424,7862.50064213184,7506.75968800131,-161.406870578019,7432.20635088965,5.24183695834996,3.12603554018109,178.504738331832,40,0,0,0,0.33927568196732,0.118564137638464,0,0,1,
45,88,107.621578308052,7862.8166045227,7507.08999510695,-161.28855628672,7417.51048994316,5.24694682960387,3.2152120480971,178.60321916204,40,0,0,0,0.343714168409569,0.123823613147766,0,0,1,
46,90,107.299121646528,7863.12902623001,7507.41667330912,-161.167665144078,7402.81349354147,5.2521024653298,3.3043859343049,178.701729386733,40,0,0,0,0.348230233103107,0.129325560784143,0,0,1,
47,92,106.976909427878,7863.43775028653,7507.73956522901,-161.044094557646,7388.11508596421,5.25729332605417,3.39355606915514,178.800267698181,40,0,0,0,0.352823928567045,0.13508030950217,0,0,1,
48,94,106.654947118778,7863.74261295411,7508.05850670223,-160.917735891823,7373.41548487419,5.26252237348222,3.48272210447809,178.898834944609,40,0,0,0,0.357494402605656,0.1410971748545,0,0,1,
49,96,106.333240407667,7864.04344576681,7508.37332880006,-160.788476035289,7358.71466432941,5.2677939244952,3.57188393371447,178.997433518769,40,0,0,0,0.362240476391507,0.147385561276064,0,0,1,
50,98,106.011795215034,7864.34007342727,7508.68385575531,-160.656195095166,7344.01244509653,5.27310438610167,3.66104152639235,179.096061714573,40,0,0,0,0.367061040596243,0.153954376517504,0,0,1,
51,100,105.690617707688,7864.63231543315,7508.98990657208,-160.520768005991,7329.30900695909,5.27845752810641,3.75019340027769,179.194720032394,40,0,0,0,0.371953691628756,0.160812467136672,0,0,1,
52,102,105.36971430855,7864.91998540817,7509.29129436021,-160.382063078953,7314.60443049716,5.28384989706563,3.83934063530791,179.293409618134,40,0,0,0,0.376916659144733,0.167967853093011,0,0,1,
53,104,105.049091709143,7865.20289216175,7509.5878273896,-160.239943215153,7299.89856821255,5.28926287579711,3.92848199777269,179.392131497476,40,0,0,0,0.381943652676332,0.175428271629023,0,0,1,
54,106,104.728756881809,7865.48084006367,7509.87930948105,-160.09426527389,7285.19143745602,5.29475820794194,4.01761716821756,179.490885215686,40,0,0,0,0.387028218911614,0.183196589257822,0,0,1,
55,108,104.408717085677,7865.75363259997,7510.1655435447,-159.944885015108,7270.4831261849,5.30027520094276,4.10674579358087,179.589671780013,40,0,0,0,0.392171968421749,0.191281147484183,0,0,1,
56,110,104.088979882396,7866.02105975374,7510.44631895179,-159.791643168492,7255.77359472407,5.30582731942104,4.19586721528204,179.688490348839,40,0,0,0,0.397384152898386,0.199709399667666,0,0,1,
57,112,103.769553164121,7866.28289453511,7510.72140806796,-159.634367815876,7241.06298801252,5.31141000993804,4.28498167622449,179.787341585047,40,0,0,0,0.402671305490802,0.208508562330551,0,0,1,
58,114,103.450445183592,7866.53889323597,7510.9905664917,-159.472870548063,7226.3512573513,5.3170613121239,4.3740885905175,179.886228368655,40,0,0,0,0.40803923069338,0.217705777821858,0,0,1,
