step,time,alt,vel,surfv,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.993,7164.18406080382,6882.5917651193,2.27373675443232E-13,5056.10250691765,-4.49738034067609,6.53406419045783,-25.197650183966,40,0,0,0,-0.0119601218578097,0.0179454118775513,0,0,1,
2,2,121.989903524827,7164.1764904397,6882.5779047734,-3.09649904468,5056.10249977962,-4.4934050887539,6.63329183052927,-25.127128569252,40,0,0,0,0.222481465331138,0.0191557324854912,0,0,1,
3,4,121.980614014433,7164.17708494952,6882.57241874573,-6.19303335745917,5042.63775358434,-4.50280480391276,6.73250690142528,-25.0565714652665,40,0,0,0,0.222508068028413,0.0191726008735731,0,0,1,
4,6,121.965131411321,7164.18583909146,6882.57530196332,-9.28958990533437,5029.17303183107,-4.51227454228559,6.83170972375477,-24.9859855011188,40,0,0,0,0.222552231644385,0.019200806717257,0,0,1,
5,8,121.943455680198,7164.20274595252,6882.5865477005,-12.3861595134297,5015.70868946903,-4.52180753789724,6.93090049749016,-24.9153643424156,40,0,0,0,0.222614457525452,0.0192403428705377,0,0,1,
6,10,121.915586807907,7164.22779878739,6882.60614936614,-15.4827292263475,5002.24436158806,-4.53141119064009,7.0300780858049,-24.8447091219172,40,0,0,0,0.222694346356339,0.0192912775741015,0,0,1,
7,12,121.881524805287,7164.26099074386,6882.6341002793,-18.5792879851193,4988.78023240704,-4.54108304391593,7.12924407157661,-24.7740222035031,40,0,0,0,0.22279198893119,0.0193535961200584,0,0,1,
8,14,121.841269705398,7164.30231478936,6882.67039358992,-21.6758246463793,4975.3162954485,-4.55082321884256,7.22839638400386,-24.7032981859956,40,0,0,0,0.22290842985356,0.0194275915299021,0,0,1,
9,16,121.794821563466,7164.35176390909,6882.71502244546,-24.7723278404005,4961.85245589862,-4.56063478872535,7.32753719445437,-24.632538351862,40,0,0,0,0.223045801479691,0.0195134210087766,0,0,1,
10,18,121.742180458814,7164.40933111301,6882.76798001862,-27.8687855028291,4948.38859016804,-4.57051481223426,7.42666485838247,-24.5617428067165,40,0,0,0,0.223201261124186,0.0196111253944962,0,0,1,
11,20,121.683346493092,7164.47500888276,6882.82925898011,-30.965187040408,4934.92487311965,-4.58046469907233,7.52578106091279,-24.4909116810603,40,0,0,0,0.223376573562261,0.0197209529951681,0,0,1,
12,22,121.618319790286,7164.54879000549,6882.89885227716,-34.0615206851961,4921.46116269888,-4.59049097602165,7.62488411683917,-24.42004178243,40,0,0,0,0.223572454450747,0.0198431337462009,0,0,1,
