step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.898000000001,7596.41054680323,-2.27373675443232E-13,11217.9681551732,-4.87290752720777,12.2656596083846,-113.278289979459,40,0,0,0,0.234700194439292,0.0226343971493473,0,0,1,
2,2,121.896869524663,7596.39815946244,-1.13050199734357,11217.9681573787,-4.86013293116829,12.3555150901765,-113.184809366749,40,0,0,0,0.234561308742699,0.0226508408038684,0,0,1,
3,4,121.893477988465,7596.3885833999,-2.26105982269223,11203.7730952915,-4.85844233512645,12.4453338848297,-113.091258819463,40,0,0,0,0.234568616873046,0.0226577837029426,0,0,1,
4,6,121.887825285368,7596.38181592081,-3.39166787504746,11189.5779906571,-4.8567840248358,12.5351142713268,-112.997638534865,40,0,0,0,0.23458366557686,0.0226698969478566,0,0,1,
5,8,121.879911321674,7596.37785410058,-4.52231938247814,11175.3830161921,-4.85515793805944,12.6248555422407,-112.903945251039,40,0,0,0,0.23460490591512,0.0226869521150177,0,0,1,
6,10,121.869736017924,7596.37669491151,-5.65300685052898,11161.188014357,-4.85356366119909,12.7145577253963,-112.810181101463,40,0,0,0,0.234632366372286,0.022708924333184,0,0,1,
7,12,121.85729930725,7596.37833540718,-6.78372531203877,11146.993147089,-4.85200184897653,12.8042211716883,-112.716345126469,40,0,0,0,0.234666177937674,0.0227357714111341,0,0,1,
8,14,121.842601135031,7596.38277303208,-7.91446736500711,11132.7983302589,-4.85047244475616,12.8938460798903,-112.622436136704,40,0,0,0,0.234706107248547,0.0227675780759212,0,0,1,
9,16,121.825641459049,7596.3900046445,-9.04522803723967,11118.6034765855,-4.84897494794711,12.9834316020188,-112.528454151846,40,0,0,0,0.234752492805015,0.0228042943038572,0,0,1,
10,18,121.806420249383,7596.40002718013,-10.1759997110917,11104.4086723419,-4.84750926380437,13.0729760670846,-112.434396163018,40,0,0,0,0.2348049697122,0.0228459649799041,0,0,1,
11,20,121.784937490898,7596.41283803316,-11.3067761330408,11090.2138587883,-4.84607493807634,13.1624815312057,-112.340265096628,40,0,0,0,0.234863793861177,0.0228926497115373,0,0,1,
12,22,121.761193179591,7596.42843385378,-12.4375512008496,11076.01908322,-4.84467231416155,13.2519473883636,-112.246057947886,40,0,0,0,0.234929382045437,0.0229443621074099,0,0,1,
13,24,121.735187324871,7596.44681162738,-13.568318801716,11061.8241975368,-4.84330211503792,13.3413716689777,-112.151774588945,40,0,0,0,0.235001080904602,0.0230012001347113,0,0,1,
14,26,121.706919947305,7596.46796830655,-14.6990727243876,11047.6293718046,-4.84196352275408,13.4307556874361,-112.057415213155,40,0,0,0,0.235079947994764,0.0230630984217982,0,0,1,
