step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.993,8030.36802781346,-267.419025386266,7311.17216357526,18.1606601266579,-7.78477297067904,-137.547802020904,40,0,0,0,0.241833899107072,0.0305687836777208,0,0,1,
2,2,121.45910127026,8030.97754083935,-266.479375555656,7311.17211876159,18.1365217247067,-7.67300068519879,-137.468338149865,40,0,0,0,0.243040302260514,0.0322065645461251,0,0,1,
3,4,120.927083914765,8031.58388667837,-265.537648401701,7296.75985689343,18.1581438109022,-7.56119268021412,-137.38890078677,40,0,0,0,0.244582007821082,0.0339076234934055,0,0,1,
4,6,120.396952103784,8032.18700143712,-264.593827544632,7282.34651605563,18.179905947274,-7.44934793371236,-137.309496036719,40,0,0,0,0.24626594737302,0.0357112406755766,0,0,1,
5,8,119.868710046175,8032.78681307401,-263.647890781188,7267.93262631936,18.2018172560852,-7.33746803247939,-137.230122051372,40,0,0,0,0.248102078389454,0.0376304842847798,0,0,1,
6,10,119.342361999053,8033.38323841246,-262.699811782657,7253.51818289853,18.2238655826537,-7.2255543491722,-137.150778728836,40,0,0,0,0.250120327341832,0.0396932644611836,0,0,1,
7,12,118.817912280158,8033.97617835229,-261.749556153355,7239.10332217843,18.2460757096145,-7.11360532171285,-137.071463268759,40,0,0,0,0.252337121060333,0.0419169741928569,0,0,1,
8,14,118.295365280273,8034.56552480415,-260.797085442905,7224.68774760115,18.2684241217954,-7.00162276377948,-136.992178240584,40,0,0,0,0.254759915088969,0.0443166136925724,0,0,1,
9,16,117.774725473291,8035.15116045272,-259.842355202432,7210.27186245097,18.2909103746945,-6.88960613131256,-136.912923539049,40,0,0,0,0.257395616470501,0.0469063859110239,0,0,1,
10,18,117.255997425961,8035.73295946975,-258.885316595259,7195.85567732777,18.3135483697174,-6.7775559689709,-136.833694607859,40,0,0,0,0.260248570516759,0.0497005936109645,0,0,1,
11,20,116.739185809263,8036.31078722189,-257.925914570566,7181.43887787509,18.3363352304511,-6.66547234095191,-136.754492239978,40,0,0,0,0.26332185064167,0.0527134752261111,0,0,1,
12,22,116.224295408977,8036.88450021965,-256.964089212603,7167.02159463185,18.3592756965643,-6.55335657644183,-136.675316302281,40,0,0,0,0.266615876840724,0.0559590928872013,0,0,1,
13,24,115.711331136919,8037.45394674275,-255.999774248605,7152.6039588563,18.3823626977935,-6.44120803151273,-136.596169361956,40,0,0,0,0.270129129906779,0.0594512300899151,0,0,1,
14,26,115.200298042879,8038.01896569395,-255.032898068241,7138.18621337619,18.4055983989478,-6.3290275230176,-136.517041579794,40,0,0,0,0.273857583667392,0.0632030863449092,0,0,1,
15,28,114.691201326264,8038.57938895218,-254.063382699328,7123.76759012927,18.4289789386137,-6.21681561515456,-136.437943440916,40,0,0,0,0.277795026493356,0.0672279594513994,0,0,1,
16,30,114.184046349361,8039.13503732888,-253.091142363475,7109.3491179675,18.4525306841817,-6.10457136720967,-136.358866071737,40,0,0,0,0.281942456712993,0.0715487139375528,0,0,1,
17,32,113.678838656832,8039.68571473764,-252.116080548431,7094.92999959416,18.4762230181974,-5.99229628891045,-136.279814561717,40,0,0,0,0.286305781927951,0.076196771409903,0,0,1,
