step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.992999999999,7824.83890465838,-137.426366773126,8499.99999999999,2.17796256434951,-30.171826642539,-131.93507711012,40,0,0,0,0.240333147017929,0.0290659312338944,0,0,1,
2,2,121.71809800184,7825.15312145688,-137.475500732251,8500.0000628046,2.1781832586544,-30.073736012403,-131.831075993836,40,0,0,0,0.24086352920198,0.0298675265656281,0,0,1,
3,4,121.443098619257,7825.46699006367,-137.523750370853,8485.21179560551,2.18353292062634,-29.9755425332576,-131.72729014679,40,0,0,0,0.241626741690145,0.0306673246330986,0,0,1,
4,6,121.168003625428,7825.78049516393,-137.57111102483,8470.42249001109,2.18890079968858,-29.8772423959898,-131.62371534698,40,0,0,0,0.2424273721899,0.0314915938367578,0,0,1,
5,8,120.892814803699,7826.09361840853,-137.617577211212,8455.63158736701,2.19428841392558,-29.7788442474386,-131.520353678589,40,0,0,0,0.243267152053231,0.032342155993482,0,0,1,
6,10,120.61753394891,7826.40634140387,-137.663143093858,8440.83994170614,2.1996939416648,-29.6803418472311,-131.417197783597,40,0,0,0,0.244147115652799,0.0332209639484161,0,0,1,
7,12,120.342162867345,7826.71864441173,-137.707802805466,8426.04658943576,2.20511816481341,-29.5817377591151,-131.314255746357,40,0,0,0,0.245069097203662,0.0341299722941769,0,0,1,
8,14,120.066703377961,7827.03050608842,-137.751549643176,8411.25230958285,2.21056217785964,-29.4830355476937,-131.211519494341,40,0,0,0,0.246034594630951,0.0350711373018293,0,0,1,
9,16,119.791157313606,7827.34190359829,-137.794376325157,8396.45686739038,2.21602382680032,-29.3842315489398,-131.108993975802,40,0,0,0,0.247047429039552,0.0360477283896609,0,0,1,
10,18,119.515526523071,7827.65281157429,-137.836274175572,8381.66033573856,2.22150617597791,-29.2853268957757,-131.006670702644,40,0,0,0,0.248114816503818,0.0370651184198507,0,0,1,
11,20,119.239812872777,7827.96320242985,-137.877234282246,8366.86225823708,2.22700767297633,-29.1863266065847,-130.904555507562,40,0,0,0,0.249238546019102,0.0381256924386884,0,0,1,
12,22,118.964018249388,7828.27304646469,-137.917245480058,8352.06345816265,2.23252995146696,-29.0872236154117,-130.802639490924,40,0,0,0,0.250420266110812,0.0392316760441351,0,0,1,
13,24,118.688144560809,7828.58231369901,-137.956297414204,8337.26279881247,2.23807085515272,-28.9880237644721,-130.700932807703,40,0,0,0,0.251661241798621,0.0403853408867604,0,0,1,
14,26,118.412193737194,7828.89097176362,-137.994378313691,8322.46146223174,2.24363138103937,-28.8887273262104,-130.599422652858,40,0,0,0,0.252963238495474,0.0415889898411368,0,0,1,
15,28,118.136167732432,7829.19898712233,-138.031476242464,8307.65863140596,2.24921158845846,-28.7893338970048,-130.498118749669,40,0,0,0,0.254327271335406,0.0428449830348465,0,0,1,
16,30,117.860068525761,7829.50632534586,-138.067577835099,8292.85496203914,2.25481381139948,-28.6898431877913,-130.397010499072,40,0,0,0,0.255754322704922,0.0441556187652427,0,0,1,
17,32,117.58389812277,7829.81294911898,-138.102669919307,8278.04974139909,2.26043270014754,-28.5902558780028,-130.296103270832,40,0,0,0,0.257246042152602,0.0455233179007276,0,0,1,
18,34,117.307658557321,7830.11882095947,-138.136737788409,8263.24341648086,2.26607878452436,-28.4905757679637,-130.195395540116,40,0,0,0,0.258802900193193,0.0469505324217135,0,0,1,
19,36,117.031351893025,7830.42390173129,-138.169765833086,8248.436216951,2.27173834097259,-28.3907976066566,-130.094881101491,40,0,0,0,0.260425600316484,0.0484396833178064,0,0,1,
20,38,116.754980225541,7830.72815009529,-138.201737976371,8233.62733053965,2.27742222960738,-28.2909263596822,-129.994565645246,40,0,0,0,0.262115077510028,0.0499932137615284,0,0,1,
21,40,116.47854568345,7831.03152401382,-138.232637399257,8218.81756958168,2.28312954072651,-28.1909620642841,-129.89444514309,40,0,0,0,0.263871413196228,0.0516135852716002,0,0,1,
22,42,116.202050429664,7831.33397916134,-138.262446211745,8204.00669298696,2.28885173289115,-28.0909003666055,-129.79451779221,40,0,0,0,0.265695138777617,0.0533033662810525,0,0,1,
23,44,115.925496664187,7831.63547024087,-138.29114564102,8189.1942577425,2.29460200462796,-27.9907482841485,-129.694780543245,40,0,0,0,0.267586380671864,0.0550652560624054,0,0,1,
24,46,115.648886625309,7831.93594992921,-138.318715873653,8174.38064917115,2.30037026557756,-27.8905041678917,-129.595238403645,40,0,0,0,0.269544008521717,0.0569008456048263,0,0,1,
25,48,115.372222591899,7832.23536973166,-138.345136425027,8159.5661036085,2.30615942038228,-27.7901698728997,-129.495889863596,40,0,0,0,0.271568534544706,0.0588135442805458,0,0,1,
26,50,115.09550688485,7832.53367909299,-138.370385523904,8144.7506969269,2.31197256566501,-27.6897384787291,-129.396723925715,40,0,0,0,0.273659524710679,0.0608053847443256,0,0,1,
27,52,114.818741869516,7832.83082654736,-138.394440550924,8129.93315448053,2.31780606704199,-27.58922029506,-129.297753509353,40,0,0,0,0.275815731642221,0.0628793100759072,0,0,1,
28,54,114.541929957086,7833.1267578512,-138.41727815884,8115.11521198455,2.32366304111414,-27.4886121247388,-129.198970047856,40,0,0,0,0.278037688937705,0.0650382664567161,0,0,1,
29,56,114.2650736082,7833.42141702639,-138.438872211954,8100.2960597181,2.3295413358151,-27.3879115802294,-129.100371823677,40,0,0,0,0.280327038268514,0.0672888129820104,0,0,1,
