step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.992999999999,7824.83890465838,-137.426366773126,8500,2.17796256434952,-30.171826642539,-131.935077108949,40,0,0,0,0.240332172814294,0.0290660591094985,0,0,1,
2,2,121.718098001844,7825.15312137543,-137.475500727384,8500.00006272531,2.1781832589775,-30.073736012403,-131.831075993596,40,0,0,0,0.240862605719936,0.0298676710423634,0,0,1,
3,4,121.443098619274,7825.46698991115,-137.523750364348,8485.21179558925,2.18353292102157,-29.9755425332576,-131.727290147383,40,0,0,0,0.241625860980045,0.0306674378805744,0,0,1,
4,6,121.168003625459,7825.78049492934,-137.571111016768,8470.42249005127,2.18890080025445,-29.8772423959898,-131.62371534674,40,0,0,0,0.242426549363683,0.0314917154612567,0,0,1,
5,8,120.89281480375,7826.09361808828,-137.617577198527,8455.63158735075,2.19428841430995,-29.7788442474386,-131.520353679183,40,0,0,0,0.243266060416804,0.0323422964055411,0,0,1,
6,10,120.617533948992,7826.40634099547,-137.663143076157,8440.83994174634,2.1996939422119,-29.6803418472311,-131.417197782425,40,0,0,0,0.244146193426553,0.0332211082169861,0,0,1,
7,12,120.342162867465,7826.71864391282,-137.707802785122,8426.04658935643,2.20511816509389,-29.5817377591151,-131.314255746951,40,0,0,0,0.245068032413985,0.0341301257402958,0,0,1,
8,14,120.066703378126,7827.03050550409,-137.75154962006,8411.25230967293,2.2105621787477,-29.4830355476937,-131.211519494101,40,0,0,0,0.246033622764463,0.0350712854852082,0,0,1,
9,16,119.791157313816,7827.34190293571,-137.794376302196,8396.45686737412,2.21602382674712,-29.3842315489398,-131.108993976396,40,0,0,0,0.247046365290166,0.0360478759074085,0,0,1,
10,18,119.515526523327,7827.65281082021,-137.836274153092,8381.66033577877,2.22150617732923,-29.2853268957757,-131.006670704072,40,0,0,0,0.248113673287656,0.037065294877234,0,0,1,
11,20,119.239812873076,7827.96320158848,-137.877234261352,8366.86225833378,2.22700767401795,-29.1863266065847,-130.904555507224,40,0,0,0,0.249237640237375,0.0381258326939145,0,0,1,
12,22,118.964018249727,7828.27304551858,-137.917245462553,8352.06345813977,2.23252995267219,-29.0872236154117,-130.802639492351,40,0,0,0,0.250419336159678,0.0392318402826712,0,0,1,
13,24,118.688144561176,7828.5823126534,-137.956297402349,8337.26279890919,2.23807085624025,-28.9880237644721,-130.700932807365,40,0,0,0,0.251660296963638,0.0403855116956271,0,0,1,
14,26,118.41219373759,7828.89097059921,-137.994378298376,8322.46146220886,2.2436313809976,-28.8887273262104,-130.599422652618,40,0,0,0,0.252962345963706,0.0415891448826782,0,0,1,
15,28,118.136167732888,7829.19898581909,-138.031476214671,8307.65863138968,2.24921158932488,-28.7893338970048,-130.498118749429,40,0,0,0,0.25432622531416,0.0428451613339978,0,0,1,
16,30,117.860068526274,7829.50632393221,-138.067577807049,8292.85496202287,2.25481381187201,-28.6898431877913,-130.3970104979,40,0,0,0,0.255753494619556,0.0441557937514454,0,0,1,
