step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,entry_phase,
1,0,121.993000000001,7830.90040875736,-126.490252215033,9512.41873655656,11.0809303431405,-29.5193529225982,-146.45588700701,40,0,0,0,0.251394617949684,0.00884165305918701,0,1,
2,2,121.740000546047,7831.18798273482,-126.509082001719,9512.41881977254,11.0613638007625,-29.420559866232,-146.353257252521,40,0,0,0,0.251970898643754,0.00906452079360702,0,1,
3,4,121.486964248876,7831.47517178281,-126.527094944095,9497.89197776479,11.0670853367007,-29.3216687285301,-146.250831401198,40,0,0,0,0.252708495554085,0.00928842280398507,0,1,
4,6,121.23389274607,7831.76196266313,-126.544286806664,9483.36428435253,11.0728659511671,-29.222680391336,-146.14861244508,40,0,0,0,0.253478788216854,0.0095185584801729,0,1,
5,8,120.980787683993,7832.04834029894,-126.560653285519,9468.83607906315,11.0787046014268,-29.1235909322826,-146.046603290518,40,0,0,0,0.25428249317054,0.00975537419105841,0,1,
6,10,120.727650717363,7832.33428925116,-126.57619049223,9454.30737540239,11.0846150886814,-29.0244051395725,-145.944793410461,40,0,0,0,0.25512092254413,0.0099993305838464,0,1,
7,12,120.474483510429,7832.619792292,-126.590892755999,9439.77772118494,11.0905877560191,-28.9251224342243,-145.84318805342,40,0,0,0,0.255995225668164,0.0102508694637572,0,1,
8,14,120.221287738168,7832.90483213267,-126.604754675556,9425.2475344175,11.0966172860914,-28.8257441925025,-145.741783410026,40,0,0,0,0.256906720321708,0.0105104564973144,0,1,
9,16,119.968065087581,7833.18939011163,-126.617770023257,9410.71665866907,11.102734682436,-28.7262684774263,-145.640582458118,40,0,0,0,0.257856396100796,0.010778588791465,0,1,
10,18,119.71481725716,7833.4734461915,-126.62993309491,9396.18524462247,11.1088883005061,-28.6266970955202,-145.539579178437,40,0,0,0,0.258850046557611,0.0110564361070882,0,1,
11,20,119.461545959654,7833.75697752932,-126.641235623399,9381.65299213831,11.1151201217726,-28.5270295060497,-145.438781038025,40,0,0,0,0.25989132283891,0.0113449384761398,0,1,
12,22,119.20825292378,7834.03996033313,-126.651669974702,9367.1204949554,11.1214382655469,-28.4272675500411,-145.338175279884,40,0,0,0,0.260981896590717,0.0116449304744823,0,1,
13,24,118.954939895099,7834.32236910954,-126.661226736507,9352.58693003193,11.127807944352,-28.3274145084664,-145.237767104981,40,0,0,0,0.262122432917437,0.0119566074234388,0,1,
14,26,118.701608637801,7834.6041778868,-126.669896859795,9338.05297105555,11.1342445060284,-28.227466404073,-145.137554986619,40,0,0,0,0.263314203646538,0.0122806372382985,0,1,
15,28,118.448260934515,7834.88535932885,-126.677670905266,9323.51828018014,11.1407443376725,-28.1274247966436,-145.037539763833,40,0,0,0,0.26455824359746,0.0126175594932314,0,1,
16,30,118.194898588063,7835.1658849581,-126.684538089191,9308.98307553954,11.1473161024669,-28.0272899063343,-144.937717595562,40,0,0,0,0.265855857792353,0.0129679076673373,0,1,
17,32,117.941523423189,7835.44572547554,-126.690487327977,9294.44712001748,11.153945401318,-27.9270640549281,-144.838089192306,40,0,0,0,0.267207495841864,0.013332243851339,0,1,
18,34,117.688137286607,7835.72484992162,-126.695507613365,9279.91067339503,11.1606484310043,-27.8267466625125,-144.738650826354,40,0,0,0,0.268613854968852,0.0137111627963801,0,1,
19,36,117.434742048634,7836.00322625287,-126.699586328473,9265.37345335404,11.1674080535528,-27.7263364136057,-144.639407847016,40,0,0,0,0.270075963251634,0.014105207955704,0,1,
20,38,117.181339605122,7836.28082216471,-126.702710852659,9250.8358369671,11.1742213202899,-27.6258367285757,-144.540351823483,40,0,0,0,0.271594367711679,0.0145149623110558,0,1,
21,40,116.927931877795,7836.55760207794,-126.704867612399,9236.29744407503,11.1810436329362,-27.5252495813312,-144.441483576785,40,0,0,0,0.273168846716132,0.0149410247308669,0,1,
22,42,116.674520816329,7836.83353136661,-126.706042385899,9221.75852032416,11.1880283016926,-27.4245691486425,-144.342803949802,40,0,0,0,0.274800635553271,0.0153839431716517,0,1,
23,44,116.421108398871,7837.10857333685,-126.706220772868,9207.21878529914,11.1951160440053,-27.3238002077545,-144.244315868838,40,0,0,0,0.276489366036525,0.0158443438100318,0,1,
24,46,116.167696634092,7837.38269009122,-126.705386865401,9192.67883918389,11.2022375069863,-27.2229452763909,-144.146008790585,40,0,0,0,0.278235231734005,0.0163227926607932,0,1,
25,48,115.914287562169,7837.65584245098,-126.703524890925,9178.13807545904,11.2094129775208,-27.1219978799745,-144.047892644433,40,0,0,0,0.28003803226621,0.0168198803191111,0,1,
