step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,entry_phase,
1,0,121.993,7824.83890465838,-137.426366773125,8147.96759524695,11.7969274834324,-20.3243427996002,-137.215843869817,40,0,0,0,0.247238120249533,0.00869318548870416,0,1,
2,2,121.718098049418,7825.15346675419,-137.475452440572,8147.96764818949,11.7796144407364,-20.2192860983626,-137.128675171983,40,0,0,0,0.247856054531852,0.00893139242246174,0,1,
3,4,121.443098814818,7825.46768758148,-137.523649896018,8133.48586157435,11.7903439704149,-20.1141705381905,-137.041626595676,40,0,0,0,0.248639027193335,0.00917173602778225,0,1,
4,6,121.168004077354,7825.78155155842,-137.57095440852,8119.0035764986,11.8011509145286,-20.0089974547819,-136.954698783442,40,0,0,0,0.249460313411695,0.00941947894380237,0,1,
5,8,120.892815628465,7826.09504084658,-137.617360256192,8104.52098340429,11.8120460776694,-19.9037616413961,-136.86788677918,40,0,0,0,0.250321022132504,0.00967520521726376,0,1,
6,10,120.617535271414,7826.40813701771,-137.662861460283,8090.03735626834,11.8230211848941,-19.798466455521,-136.781197792098,40,0,0,0,0.251222484416102,0.00993946844594169,0,1,
7,12,120.342164821127,7826.72082007144,-137.707452388207,8075.55355459897,11.8340826053895,-19.693113377018,-136.694624025155,40,0,0,0,0.252166712902066,0.0102128768415266,0,1,
8,14,120.066706105504,7827.03306914745,-137.751125398471,8061.06910534895,11.8451624395252,-19.587701988807,-136.60817269374,40,0,0,0,0.253155104711378,0.0104960178525907,0,1,
9,16,119.791160966961,7827.34486165166,-137.793873908894,8046.58459819787,11.8564116206433,-19.4822325941587,-136.521833249462,40,0,0,0,0.254191175384635,0.0107898837667622,0,1,
10,18,119.515531263552,7827.65617202293,-137.835688647578,8032.09925522379,11.8677185149144,-19.3767056751699,-136.435609158118,40,0,0,0,0.255282237615392,0.0110961468038872,0,1,
11,20,119.239818872488,7827.9669728859,-137.876559569026,8017.61343103392,11.8791058286175,-19.2711204815433,-136.349500093716,40,0,0,0,0.256430337621819,0.0114155025145479,0,1,
12,22,118.964025691557,7828.27723517122,-137.916476559312,8003.12708862948,11.8905661527476,-19.1654783680872,-136.26350672024,40,0,0,0,0.257636614967616,0.0117486652890592,0,1,
13,24,118.688153640079,7828.58692825891,-137.955428222386,7988.64042171807,11.9021205813457,-19.0597795393826,-136.177626970187,40,0,0,0,0.258902716888283,0.0120962977611881,0,1,
14,26,118.412204659984,7828.89601994798,-137.993402875263,7974.15332270521,11.9137520472508,-18.954025732318,-136.091858615903,40,0,0,0,0.260229938578488,0.0124591287629877,0,1,
15,28,118.136180717628,7829.20447694262,-138.030388140521,7959.66578139301,11.9254713539008,-18.8482134983114,-136.006198769072,40,0,0,0,0.261619554825007,0.0128378645339484,0,1,
16,30,117.860083805247,7829.51226466186,-138.066370461986,7945.17736078408,11.937267774891,-18.7423454062682,-135.92065255486,40,0,0,0,0.263072693000321,0.0132332286872551,0,1,
17,32,117.5839159423,7829.81934665232,-138.101336160488,7930.68869943207,11.9491711300842,-18.6364235459258,-135.835214142974,40,0,0,0,0.264590322972856,0.0136459699609029,0,1,
18,34,117.307679177128,7830.12568505154,-138.135269859324,7916.19952381456,11.9611466168261,-18.5304479397936,-135.749888838497,40,0,0,0,0.266173325290704,0.0140768165660776,0,1,
19,36,117.031375588628,7830.43124017517,-138.168156541427,7901.71030392843,11.9732368764142,-18.4244134250574,-135.664669222227,40,0,0,0,0.267822158288194,0.014526562562975,0,1,
20,38,116.755007287973,7830.73597146591,-138.1999790723,7887.22011510259,11.9853985256705,-18.3183264467632,-135.57955655532,40,0,0,0,0.269537543183971,0.0149959236681131,0,1,
21,40,116.47857642013,7831.03983609758,-138.2307203629,7872.72956634981,11.997642258246,-18.2121869341306,-135.494553429367,40,0,0,0,0.27132040712333,0.0154858002979894,0,1,
22,42,116.202085165715,7831.34278992935,-138.260362150739,7858.23890359943,12.0099759980746,-18.1059924134415,-135.409655967314,40,0,0,0,0.273168798794228,0.0159966467853581,0,1,
23,44,115.925535743256,7831.64478722294,-138.288884900594,7843.74767985465,12.0223969523168,-17.9997447587474,-135.324865676249,40,0,0,0,0.275084820318849,0.0165295442731054,0,1,
24,46,115.648930410769,7831.94578112962,-138.316268538057,7829.25619439301,12.0349204489711,-17.8934428816835,-135.240174136408,40,0,0,0,0.277067379415947,0.017085174791301,0,1,
25,48,115.372271467364,7832.24572215788,-138.342491885491,7814.76373470656,12.0475125075157,-17.7870893729852,-135.155587427127,40,0,0,0,0.279115845257395,0.017664298711206,0,1,
26,50,115.095561255874,7832.54456035273,-138.367532507111,7800.27101926082,12.0601989283015,-17.6806839740181,-135.0711070192,40,0,0,0,0.281229832355341,0.0182676874548042,0,1,
27,52,114.818802164346,7832.84224354517,-138.391367601467,7785.77819060098,12.0729597456505,-17.5742266073073,-134.986732879854,40,0,0,0,0.283408121945164,0.0188961113553921,0,1,
28,54,114.541996627778,7833.13871811864,-138.413972887461,7771.28528357037,12.0858424493305,-17.4677159717361,-134.902455497626,40,0,0,0,0.285651409425121,0.0195507946654251,0,1,
29,56,114.265147132274,7833.43392648114,-138.435321709773,7756.79148141081,12.0987935772725,-17.3611556335563,-134.818278260443,40,0,0,0,0.287961094466168,0.0202334754673321,0,1,
30,58,113.988256218241,7833.72780788926,-138.455386119041,7742.29735746213,12.1118347196968,-17.2545428033806,-134.734201910772,40,0,0,0,0.290338597889401,0.0209458388131104,0,1,
31,60,113.711326483952,7834.02029831745,-138.474136428392,7727.80281223219,12.1249686002873,-17.1478796553008,-134.650223388457,40,0,0,0,0.292785029992869,0.0216895363991065,0,1,
32,62,113.434360589785,7834.31133125002,-138.491539884909,7713.30779937169,12.1381886083961,-17.0411665802416,-134.566346056188,40,0,0,0,0.295301183044802,0.022466271841655,0,1,
33,64,113.157361263321,7834.6008351237,-138.507562304737,7698.81266091192,12.1515091187093,-16.9344032507897,-134.482566142876,40,0,0,0,0.297887306835979,0.0232776771586617,0,1,
34,66,112.88033130251,7834.88873600613,-138.522167571098,7684.31711195116,12.1649114758359,-16.827590420018,-134.39888510111,40,0,0,0,0.300543190142104,0.0241253574270174,0,1,
35,68,112.603273580128,7835.1749561289,-138.535316845722,7669.82136694152,12.1784174928333,-16.7207281275947,-134.315297272409,40,0,0,0,0.30326894318367,0.025010829763327,0,1,
36,70,112.326191047882,7835.45941552169,-138.546969809848,7655.32501494845,12.1920057593194,-16.6138157048058,-134.231803429264,40,0,0,0,0.306063224836087,0.0259356648974193,0,1,
37,72,112.049086741069,7835.74202912025,-138.55708341803,7640.82811220565,12.2056898992305,-16.506856694184,-134.14840949976,40,0,0,0,0.308924749383273,0.0269012826168377,0,1,
38,74,111.771963782949,7836.02271259984,-138.565613018373,7626.33143709092,12.2194657812083,-16.3998479822975,-134.065107269418,40,0,0,0,0.311852567912075,0.0279094051494639,0,1,
39,76,111.494825387281,7836.30137565418,-138.572512168375,7611.83414310635,12.233342806687,-16.2927913506662,-133.981898174996,40,0,0,0,0.314844189404625,0.0289600673330023,0,1,
40,78,111.217674864133,7836.57792683691,-138.577731563438,7597.33651811989,12.2473126239362,-16.1856871565793,-133.898785542709,40,0,0,0,0.317897415573953,0.0300557586971471,0,1,
41,80,110.940515623304,7836.85227207878,-138.581220570259,7582.83889965482,12.2613700758424,-16.0785341308477,-133.815760573795,40,0,0,0,0.321009479135351,0.0311969529395102,0,1,
42,82,110.663351177381,7837.12431527493,-138.582927008716,7568.34052681969,12.2755286297095,-15.9713367169407,-133.732828510646,40,0,0,0,0.324177484422368,0.0323846142943548,0,1,
43,84,110.386185145142,7837.39395851513,-138.582796994609,7553.84218889397,12.2897759248696,-15.864090522508,-133.649986325984,40,0,0,0,0.327398089831311,0.033619437642136,0,1,
44,86,110.109021255316,7837.66110295979,-138.580774470634,7539.34336449455,12.3041355459243,-15.7567986518763,-133.567236057164,40,0,0,0,0.330667661600127,0.0349020538884717,0,1,
45,88,109.831863349203,7837.92564826233,-138.576802727621,7524.84448677046,12.3185879407001,-15.6494600994202,-133.484572122027,40,0,0,0,0.333982237796565,0.0362327340532894,0,1,
46,90,109.554715383629,7838.18749206247,-138.570823282183,7510.34507328645,12.3331258392388,-15.5420770069858,-133.401999753915,40,0,0,0,0.337340803734393,0.0376128577094021,0,1,
47,92,109.277581434788,7838.4465285891,-138.562774332576,7495.84574626274,12.3477650543324,-15.4346486250152,-133.319513980558,40,0,0,0,0.340745992553083,0.0390456143557698,0,1,
48,94,109.000465707457,7838.70264434869,-138.552589342768,7481.34609108372,12.3625087417175,-15.3271741409602,-133.237112509735,40,0,0,0,0.344200386930053,0.0405339589656484,0,1,
49,96,108.723372543906,7838.95572036265,-138.540197191983,7466.84590529275,12.377352611542,-15.2196571553449,-133.154804234471,40,0,0,0,0.347706411753487,0.042081131826835,0,1,
50,98,108.446306433554,7839.20563043606,-138.525522052363,7452.34621471195,12.3922891941961,-15.1120926772539,-133.072576119061,40,0,0,0,0.351265649046368,0.0436901393754179,0,1,
51,100,108.169272022795,7839.45224326669,-138.508482609602,7437.84564153172,12.4073281384336,-15.0044864885732,-132.990434527779,40,0,0,0,0.354879321716408,0.0453639108209947,0,1,
52,102,107.892274124583,7839.69541999006,-138.488993713699,7423.34516539748,12.4224667535348,-14.896836969744,-132.908377772214,40,0,0,0,0.358548569650719,0.0471054068257053,0,1,
53,104,107.615317726683,7839.9350168954,-138.466965392118,7408.84457415875,12.4377040491644,-14.7891425343066,-132.826404200345,40,0,0,0,0.362273265397391,0.0489175646621193,0,1,
54,106,107.338408002182,7840.17088574934,-138.442302806928,7394.34366080142,12.4530394810181,-14.6814064370731,-132.74451379686,40,0,0,0,0.366054607851407,0.0508031065120475,0,1,
55,108,107.061550320072,7840.40286798647,-138.414904489988,7379.84270374102,12.4684889393172,-14.5736270816315,-132.662704905348,40,0,0,0,0.369891130793844,0.0527651525760746,0,1,
56,110,106.784750255246,7840.6308037137,-138.384665864621,7365.3414947677,12.4840258452956,-14.4658061370457,-132.580978874807,40,0,0,0,0.373785065163649,0.0548050472951431,0,1,
57,112,106.508013598306,7840.85452661375,-138.351476255556,7350.84030782517,12.4996709995707,-14.3579421757696,-132.499331634146,40,0,0,0,0.377733401223646,0.0569266686328309,0,1,
58,114,106.231346364926,7841.0738644773,-138.315221184908,7336.33875049158,12.5154173075081,-14.2500379433351,-132.417767484108,40,0,0,0,0.381735949521253,0.059132215673041,0,1,
59,116,105.954754805428,7841.28863991076,-138.275780114942,7321.83741542789,12.5312745765539,-14.142091108671,-132.336279939792,40,0,0,0,0.38579159841242,0.0614239282385363,0,1,
