step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.993,7917.74632245779,-206.381002231915,8129.48826080262,17.3994904418146,-13.7738077283844,-142.368247076987,40,0,0,0,0.241067372086708,0.0297464045535638,0,0,1,
2,2,121.58063245169,7918.22026513888,-205.986318498767,8129.48829360527,17.3727955097607,-13.664940486513,-142.28649092853,40,0,0,0,0.241956085616421,0.0309745132317546,0,0,1,
3,4,121.169055735399,7918.69254897113,-205.590168672999,8115.21655562512,17.38740153216,-13.556026069559,-142.204810334423,40,0,0,0,0.24312665283331,0.0322281070939979,0,0,1,
4,6,120.758272793243,7919.1631375884,-205.192542414168,8100.94448454418,17.4021346900777,-13.4470670099156,-142.123197147284,40,0,0,0,0.24438103688296,0.033538787863471,0,0,1,
5,8,120.34828658887,7919.63199078036,-204.793428596209,8086.67158679682,17.4169769533314,-13.3380637324875,-142.041657032019,40,0,0,0,0.245723471932397,0.0349120583562288,0,0,1,
6,10,119.939100110733,7920.09906441553,-204.392813799185,8072.39843610516,17.431934091458,-13.2290130135127,-141.960185891981,40,0,0,0,0.247159113858098,0.0363559689591889,0,0,1,
7,12,119.530716375583,7920.56430925437,-203.990682541029,8058.12451460677,17.4470016559165,-13.1199185134457,-141.878785691094,40,0,0,0,0.24870298428,0.0378814498948464,0,0,1,
8,14,119.123138435457,7921.02766754402,-203.587015102928,8043.85028550012,17.4621984127833,-13.0107808968717,-141.797451595784,40,0,0,0,0.250365896039199,0.039499772673399,0,0,1,
9,16,118.716369383759,7921.48907711374,-203.181790071173,8029.57542137311,17.4774988203964,-12.9015960318981,-141.716187055676,40,0,0,0,0.252151926554707,0.0412176495329995,0,0,1,
10,18,118.310412359484,7921.94847143437,-202.774983165249,8015.3000039893,17.4929135342206,-12.7923695252092,-141.634986483419,40,0,0,0,0.254065066694304,0.043041744429477,0,0,1,
11,20,117.905270551563,7922.40578012307,-202.366568830929,8001.02396411508,17.5084496022754,-12.6830994250821,-141.553855976744,40,0,0,0,0.256108389717286,0.0449788879085144,0,0,1,
12,22,117.500947203187,7922.86092734643,-201.956518430789,7986.74775866768,17.5241115109345,-12.5737860225153,-141.472792376997,40,0,0,0,0.258284301838637,0.047036068950864,0,0,1,
13,24,117.097445617045,7923.31383505989,-201.54480078486,7972.47118203301,17.5398683128396,-12.4644300897753,-141.391793325619,40,0,0,0,0.26059494964165,0.0492199641979837,0,0,1,
14,26,116.694769160774,7923.76441930565,-201.131382510885,7958.19412998519,17.5557581199578,-12.3550316124243,-141.310856073289,40,0,0,0,0.26304123689697,0.0515375691769264,0,0,1,
15,28,116.292921271315,7924.21259251921,-200.716227364833,7943.91641217593,17.5717847518697,-12.245589639622,-141.229982967773,40,0,0,0,0.265623590576625,0.0539955924522899,0,0,1,
16,30,115.891905459953,7924.65826280637,-200.299297302534,7929.63822337104,17.5879380238998,-12.1361066396254,-141.149177187526,40,0,0,0,0.268342607603471,0.0566016678077358,0,0,1,
17,32,115.491725318414,7925.10133413963,-199.880549815673,7915.36005619463,17.6042292257319,-12.0265833232531,-141.068430036141,40,0,0,0,0.271194271908922,0.0593600501958932,0,0,1,
18,34,115.092384525697,7925.54170650672,-199.459940588747,7901.08124644284,17.6205876809252,-11.9170166938405,-140.987750246377,40,0,0,0,0.274178935233714,0.0622795877644025,0,0,1,
19,36,114.693886851742,7925.97927573415,-199.037422334623,7886.80241513596,17.6370680177915,-11.8074114468162,-140.907126518942,40,0,0,0,0.277292645570138,0.0653661070945798,0,0,1,
20,38,114.2962361642,7926.41393214862,-198.612944641302,7872.52293092802,17.6536798387733,-11.6977639929907,-140.826563400252,40,0,0,0,0.280537244859485,0.0686319001892729,0,0,1,
21,40,113.899436437607,7926.84555670772,-198.186450985342,7858.24300868893,17.6704644463571,-11.5880760682924,-140.746061087039,40,0,0,0,0.283915689312025,0.0720923406665261,0,0,1,
22,42,113.503491765178,7927.27402215773,-197.75787905948,7843.9628316368,17.6873201776684,-11.4783489615912,-140.665622671481,40,0,0,0,0.28743076462608,0.0757624195469075,0,0,1,
23,44,113.108406369404,7927.69919101591,-197.327161693278,7829.68280829047,17.7043220568752,-11.3685818086214,-140.585235386898,40,0,0,0,0.291083156173978,0.0796566637688752,0,0,1,
24,46,112.714184614736,7928.12091724802,-196.894224403742,7815.40181157045,17.7214478437238,-11.2587757148405,-140.50491040364,40,0,0,0,0.294871748133312,0.0837888283562053,0,0,1,
25,48,112.320831020137,7928.53904655901,-196.458986932338,7801.12094806807,17.738622541039,-11.148931974972,-140.424643230591,40,0,0,0,0.298794505442773,0.0881718663604016,0,0,1,
26,50,111.928350270142,7928.95341742182,-196.021364177169,7786.83996009233,17.7560182789739,-11.03904757911,-140.344428725082,40,0,0,0,0.302846979682652,0.0928175295295412,0,0,1,
27,52,111.536747225051,7929.36386027427,-195.581265421867,7772.55824922907,17.7735036002928,-10.929126031164,-140.264276284325,40,0,0,0,0.30702396154659,0.0977364597313019,0,0,1,
28,54,111.146026932783,7929.77020008326,-195.138593882786,7758.27692510672,17.791121932981,-10.8191670539974,-140.184177339042,40,0,0,0,0.311318479043504,0.102937933127878,0,0,1,
29,56,110.756194639584,7930.17225643971,-194.693248097887,7743.99526729394,17.8088810038365,-10.7091701218782,-140.104132020448,40,0,0,0,0.315723849919087,0.108427474514776,0,0,1,
30,58,110.367255798648,7930.56984472674,-194.245122612464,7729.71330484976,17.8267564864618,-10.5991356397418,-140.024141577949,40,0,0,0,0.320224537486908,0.11421560621908,0,0,1,
31,60,109.979216079007,7930.96277704556,-193.794107206121,7715.4312267153,17.8447608341039,-10.4890655589137,-139.944203833217,40,0,0,0,0.324815648159267,0.120300754502312,0,0,1,
32,62,109.592081371997,7931.35086426224,-193.340089533052,7701.14902138059,17.8628956468915,-10.3789576080588,-139.864323497421,40,0,0,0,0.32948632583159,0.126687707553303,0,0,1,
33,64,109.205857799992,7931.73390977123,-192.882950162204,7686.86700760425,17.8811500434051,-10.2688134276339,-139.784486892929,40,0,0,0,0.334238981811642,0.133397244663888,0,0,1,
34,66,108.820551734953,7932.11170182683,-192.422558398783,7672.58413873789,17.8995444387492,-10.1586354415999,-139.704709644011,40,0,0,0,0.339080526408844,0.140455225632723,0,0,1,
35,68,108.436169822142,7932.48401298442,-191.958771589209,7658.30200536613,17.9180620892241,-10.0484198097844,-139.62497866638,40,0,0,0,0.34401545498911,0.147886653120015,0,0,1,
36,70,108.052719004473,7932.85060012757,-191.491434739642,7644.01925267915,17.9366840042193,-9.93817099016997,-139.54530321962,40,0,0,0,0.349046413007623,0.155715824627463,0,0,1,
37,72,107.670206546992,7933.21120526151,-191.020380746967,7629.73704396129,17.955443140111,-9.82788603083362,-139.4656726159,40,0,0,0,0.35417542360683,0.163965191716428,0,0,1,
38,74,107.288640061625,7933.5655571041,-190.545429981381,7615.45429362719,17.9743761646469,-9.71756741878733,-139.386093735158,40,0,0,0,0.359401701594847,0.172656735890646,0,0,1,
39,76,106.908027530698,7933.91337157646,-190.06639125781,7601.17182572027,17.993419485508,-9.60721510336063,-139.306565076815,40,0,0,0,0.364725077982163,0.181810855870311,0,0,1,
40,78,106.52837733223,7934.25435080989,-189.583060325489,7586.88955718908,18.0125741803806,-9.49682892704311,-139.227083229671,40,0,0,0,0.370144496092813,0.191444919457715,0,0,1,
41,80,106.14969826478,7934.58818557865,-189.095220948435,7572.60722880171,18.0319183347839,-9.3864096870977,-139.147647821262,40,0,0,0,0.375655131013479,0.201582826715473,0,0,1,
42,82,105.771999571732,7934.91455535962,-188.602644397859,7558.32491273736,18.0513957559904,-9.27595816082282,-139.068263465906,40,0,0,0,0.381255840898533,0.212235501458209,0,0,1,
43,84,105.395290965218,7935.23312899518,-188.105090980343,7544.04312159906,18.0710085653584,-9.16547309878466,-138.98891895013,40,0,0,0,0.386941206470348,0.223422249856215,0,0,1,
44,86,105.019582649017,7935.54356530946,-187.602308234528,7529.7608332881,18.0907943401783,-9.05495700821257,-138.909625181337,40,0,0,0,0.392707164160296,0.235157430588595,0,0,1,
45,88,104.644885343347,7935.84551449932,-187.094033512791,7515.47923166564,18.1106940121156,-8.9444081240708,-138.830373778754,40,0,0,0,0.398543317467859,0.24744485529201,0,0,1,
46,90,104.271210300391,7936.13862460202,-186.579995534798,7501.19751145025,18.1307273243494,-8.83383010380075,-138.751170363265,40,0,0,0,0.404449786202682,0.26030994988786,0,0,1,
47,92,103.898569339109,7936.42251165944,-186.059896447527,7486.91646425132,18.1508935700702,-8.72321927838421,-138.672007988527,40,0,0,0,0.410438890799718,0.273810267530358,0,0,1,
48,94,103.526974904594,7936.69675749073,-185.5334080448,7472.63528656894,18.17119801034,-8.61257896003062,-138.592890513291,40,0,0,0,0.416519816747292,0.288000364850235,0,0,1,
49,96,103.156440128218,7936.96091064671,-185.000172013062,7458.35459139789,18.191645797363,-8.5019093271886,-138.51381690403,40,0,0,0,0.422697891844326,0.302933843212185,0,0,1,
50,98,102.786978889575,7937.21448706322,-184.459798465665,7444.07435226445,18.212240049763,-8.39120934406478,-138.434782347663,40,0,0,0,0.428974746890048,0.318662900812275,0,0,1,
51,100,102.418605879469,7937.45696881209,-183.91186623921,7429.79412730371,18.2329756688155,-8.28048058683996,-138.35579313702,40,0,0,0,0.435349123512835,0.335238900210825,0,0,1,
52,102,102.051336662427,7937.68780661661,-183.355922465675,7415.51463242866,18.2538576462025,-8.1697227915587,-138.276840215442,40,0,0,0,0.441817054924742,0.352713738908942,0,0,1,
53,104,101.685187739509,7937.90641873376,-182.791483759887,7401.23509924005,18.2748863159321,-8.05893702511024,-138.197929614592,40,0,0,0,0.448370983064828,0.371138122935075,0,0,1,
54,106,101.320176611178,7938.11219066312,-182.218033585043,7386.9561873976,18.2960670976963,-7.94812405261956,-138.119066818893,40,0,0,0,0.45500047339384,0.390564998206756,0,0,1,
55,108,100.956321842328,7938.30447445337,-181.635024398143,7372.67848899833,18.3173986567321,-7.83728293226315,-138.040235306136,40,0,0,0,0.461692668726912,0.411049014387665,0,0,1,
56,110,100.593643126687,7938.48258636431,-181.041874583655,7358.40052652561,18.3388827989864,-7.72641560740297,-137.961446820977,40,0,0,0,0.468431520794251,0.432646169239744,0,0,1,
57,112,100.232161353827,7938.64580639147,-180.437969858418,7344.12352618794,18.3605159898601,-7.61552150785185,-137.882693105496,40,0,0,0,0.475198023377846,0.455417431624749,0,0,1,
58,114,99.8718986753607,7938.79337465718,-179.822663084092,7329.84676960092,18.3823014011953,-7.50460250115538,-137.803982150245,40,0,0,0,0.481969584867678,0.479421136843015,0,0,1,
59,116,99.5128785598548,7938.92451225873,-179.195289151255,7315.57114484264,18.4042431368243,-7.39365749687859,-137.72530572656,40,0,0,0,0.48870692556951,0.504660608677801,0,0,1,
60,118,99.1551258167233,7939.03841065689,-178.55516377293,7301.29590177047,18.4263358404518,-7.28268763876038,-137.646664611301,40,0,0,0,0.495395337237771,0.531241759671324,0,0,1,
61,120,98.7986666855346,7939.13418180074,-177.901538990935,7287.0212385934,18.4485777901228,-7.17169392152165,-137.568065952113,40,0,0,0,0.502023376520249,0.559300976895773,0,0,1,
62,122,98.443528966154,7939.21085006827,-177.233603187534,7272.74791224279,18.4710163244626,-7.060676149127,-137.489502376959,40,0,0,0,0.508573857064419,0.588971645837244,0,0,1,
63,124,98.0897421407783,7939.26736287984,-176.550484257105,7258.47530714727,18.4936006681275,-6.94963585703229,-137.410972055017,40,0,0,0,0.515026343492243,0.620387752128868,0,0,1,
64,126,97.7373374984041,7939.30257898366,-175.851249810163,7244.20341481699,18.5163424543607,-6.83857237666622,-137.332477541799,40,0,0,0,0.521356932531848,0.65367990145155,0,0,1,
65,128,97.3863482491421,7939.31527694012,-175.134910980365,7229.93247417522,18.5392488275399,-6.7274875941204,-137.254018752499,40,0,0,0,0.527538830698482,0.688986571879014,0,0,1,
66,130,97.0368096352546,7939.30415544057,-174.400424847838,7215.66265580927,18.5623223716385,-6.61638042294769,-137.17559465561,40,0,0,0,0.533556474791396,0.726418375272419,0,0,1,
67,132,96.6887590359403,7939.26784075815,-173.646698065099,7201.39385147411,18.5855605088506,-6.50525347094739,-137.097204293455,40,0,0,0,0.539393934014644,0.766090309344461,0,0,1,
68,134,96.3422360650916,7939.20489414886,-172.872589949922,7187.12620097013,18.6089721897755,-6.39410623002425,-137.018848444549,40,0,0,0,0.545048479420078,0.808090584402508,0,0,1,
69,136,95.9972826592624,7939.11383429089,-172.076919394845,7172.85979572111,18.6325468735993,-6.28293948237194,-136.940524340552,40,0,0,0,0.550530421336908,0.852484991780196,0,0,1,
70,138,95.6539431639928,7938.9931322906,-171.258459132376,7158.59449436988,18.6563177404184,-6.17175438872295,-136.862234558557,40,0,0,0,0.555871745200513,0.89929193330946,0,0,1,
71,140,95.3122644075882,7938.8412869087,-170.415954315699,7144.33065842968,18.6802648455736,-6.06055115642299,-136.783978107196,40,0,0,0,0.561153273758746,0.948431737464632,0,0,1,
72,142,94.9722957602292,7938.65685443079,-169.548119096578,7130.06826812217,18.7043756334779,-5.94933113942139,-136.705753125048,40,0,0,0,0.566443753149813,0.999816061959489,0,0,1,
73,144,94.6340891859317,7938.43841632899,-168.653648143749,7115.80730054884,18.7286777238775,-5.83809388889753,-136.627560436293,40,0,0,0,0.571741346743119,1.05342032388103,0,0,1,
74,146,94.2976992803756,7938.18453621725,-167.731205391511,7101.54785570264,18.7531605316032,-5.7268417890978,-136.549399917997,40,0,0,0,0.577047582634979,1.1093315084095,0,0,1,
75,148,93.9631833887938,7937.89370332461,-166.779372179302,7087.29013367134,18.7778158273624,-5.61557402786272,-136.471269745955,40,0,0,0,0.5823713268867,1.16768469031308,0,0,1,
76,150,93.630601790308,7937.56432033398,-165.796636496268,7073.03397365367,18.8026643796513,-5.5042928464777,-136.39317158258,40,0,0,0,0.587715758439116,1.22859391454551,0,0,1,
77,152,93.3000178634133,7937.19472826311,-164.781410985419,7058.77972650468,18.8277071188148,-5.3929980112147,-136.315103623955,40,0,0,0,0.593073583845737,1.29218280102507,0,0,1,
78,154,92.9714982271269,7936.7831682344,-163.732047732177,7044.52727105252,18.852951509404,-5.28169165820695,-136.237068348943,40,0,0,0,0.598389162988352,1.3585851842343,0,0,1,
79,156,92.6451128543532,7936.32783694905,-162.646834794795,7030.27702479969,18.8783771990459,-5.17037290020271,-136.159059711242,40,0,0,0,0.603727135975059,1.42780399016333,0,0,1,
80,158,92.3209352116063,7935.82693189782,-161.523996388655,7016.02844323746,18.9040027937068,-5.05904464637923,-136.081083626576,40,0,0,0,0.609089277373714,1.4998628175283,0,0,1,
81,160,91.999042362405,7935.278625365,-160.361712641295,7001.78230286658,18.9298373016071,-4.94770657744832,-136.003140111449,40,0,0,0,0.614474590983866,1.574785499741,0,0,1,
82,162,91.679515046169,7934.68107565079,-159.158129629073,6987.53864079594,18.9558807817172,-4.83635974450446,-135.925225606938,40,0,0,0,0.619877346676664,1.65257866142687,0,0,1,
83,164,91.3624377338085,7934.03243997263,-157.911371421204,6973.29726195709,18.9821193131198,-4.72500607469922,-135.84733916759,40,0,0,0,0.62529429516475,1.7332299841715,0,0,1,
84,166,91.0478986644652,7933.33087852407,-156.619546944542,6959.05826283045,19.008575206804,-4.61364557674342,-135.769482440322,40,0,0,0,0.630719313332009,1.81671419885409,0,0,1,
85,168,90.7359898649603,7932.5745619999,-155.280755321414,6944.82184840225,19.0352506534191,-4.50227957179456,-135.691657311251,40,0,0,0,0.636151871240046,1.90304374163631,0,0,1,
86,170,90.4268072274858,7931.76160983981,-153.89302637432,6930.58833077163,19.0621075352278,-4.39090965710405,-135.613861809051,40,0,0,0,0.641590574152551,1.99231104820509,0,0,1,
87,172,90.1204506227709,7930.89012758773,-152.454363811037,6916.35769291382,19.0892206216352,-4.27953618928071,-135.536093462533,40,0,0,0,0.647029114585482,2.08446293602577,0,0,1,
88,174,89.8170239029583,7929.95826059404,-150.96278909683,6902.12979205132,19.11654162846,-4.16816110193815,-135.458359062833,40,0,0,0,0.652460642822547,2.17941601161374,0,0,1,
89,176,89.5166348289186,7928.96420566622,-149.416369596143,6887.90542202583,19.1440897400349,-4.05678498603825,-135.380649966401,38,120,180,101.907175564169,0.657875897590068,2.27709658931344,4.99135485672726,-395.589891419789,2,
90,178,89.2176054283613,7928.10241228897,-149.619050519914,6873.68389926694,19.1620854646376,-3.94541410550518,-135.302964585165,38,38.3241709292751,0,100.70340884331,0.722001724035339,2.131789305834,5.00095103677771,-8.97905393676615,2,
91,180,88.9196910609016,7927.17266512833,-148.287336386493,6859.46554276482,19.1840551989941,-3.8340513750487,-135.225293177603,38,38.3681103979881,0,100.466835611938,0.728302380582809,2.22486083687042,5.01221670344401,-9.0048764424169,2,
92,182,88.6244849052364,7926.18417887887,-146.910528767349,6845.24971840284,19.2059303631278,-3.7226971899513,-135.147641325886,38,38.4118607262555,0,100.227487379649,0.734605088909008,2.32081701168794,5.02346299117174,-9.03103927655878,2,
93,184,88.3320788440285,7925.13511531126,-145.486924138563,6831.03701035833,19.2276968855457,-3.61135336692202,-135.070004446871,38,38.4553937710914,0,99.9856791526035,0.740878982614831,2.41988857007976,5.03468675142777,-9.05754870453784,2,
94,186,88.0425682048406,7924.0236029486,-144.014782913941,6816.82717792234,19.2493469448003,-3.50002117066671,-134.992382705104,38,38.4986938896007,0,99.7410043307827,0.747143754764415,2.52195638128203,5.04588552187171,-9.08441232042074,2,
95,188,87.7560518200267,7922.84774123826,-142.492341865242,6802.62037276469,19.2708857976492,-3.38870226586573,-134.914774478024,38,38.5417715952984,0,99.4935738268406,0.753381399549039,2.62710800024948,5.05705645632222,-9.11163707849173,2,
96,190,87.4726320597483,7921.6056145728,-140.917829946242,6788.41661095748,19.2922705131657,-3.2773990573192,-134.83718461347,38,38.5845410263315,0,99.243395064344,0.759579998539983,2.73535694226136,5.06819681495694,-9.13923007436746,2,
97,192,87.1924148311662,7920.2953052799,-139.289481760835,6774.21654084271,19.3135040054646,-3.16611265246826,-134.759602078274,38,38.6270080109293,0,98.9904647614719,0.765727275465957,2.84669245670782,5.0793032906713,-9.16719723268473,2,
98,194,86.9155095610917,7918.91488976749,-137.60554971298,6760.01929172828,19.3345714118034,-3.05484468365623,-134.682036506283,38,38.6691428236069,0,98.7347808641512,0.771809205103984,2.96109080681716,5.09037395803164,-9.19554682756142,2,
99,196,86.6420291267084,7917.46248782042,-135.86432893743,6745.82589446662,19.3554770598989,-2.94359800047221,-134.604485841816,38,38.7109541197978,0,98.4763582822923,0.777809199485646,3.07851991000342,5.10140523828566,-9.22428369080237,2,
100,198,86.3720897971382,7915.93617301905,-134.064136702246,6731.6364019842,19.3761785730319,-2.83237418424329,-134.526944142531,38,38.7523571460637,0,98.2151726220292,0.783711557502067,3.19893217885962,5.11239439725839,-9.25341423211376,2,
101,200,86.105811121352,7914.33411644508,-132.203380938279,6717.45043317222,19.3967035155937,-2.72117482438384,-134.449414181108,38,38.7934070311875,0,97.951219082525,0.789497623881198,3.32225968199931,5.12333925967799,-9.28294505072869,2,
102,202,85.8433157630684,7912.65449418182,-130.280533920859,6703.26839564291,19.416991160956,-2.61000247513422,-134.37189507044,38,38.833982321912,0,97.6844358443377,0.795152048052693,3.4484218836729,5.13423696100029,-9.31288120830405,2,
103,204,85.5847293581134,7910.89553850856,-128.294161219873,6689.09042789989,19.4370833864571,-2.49885891408924,-134.294384082972,38,38.8741667729142,0,97.4147899891687,0.800654797736241,3.57733616553076,5.14508499337465,-9.34322779329407,2,
