step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.859999999999,7800.03197426806,-135.230949609154,9175.81946055967,-12.3554978671,53.2681541339905,11.0612395569835,40,0,0,0,0.239076744950203,0.0266092491763975,0,0,1,
2,2,121.589369073338,7800.34359573308,-135.399852935167,9175.81945739401,-12.3369610507503,53.3939981054561,10.9595132550959,40,0,0,0,0.239754212491665,0.0273102824605709,0,0,1,
3,4,121.318401185469,7800.65520736941,-135.567909888748,9160.65212055484,-12.3481492290517,53.5197780810933,10.8572258395904,40,0,0,0,0.24047693562943,0.0280302409018801,0,0,1,
4,6,121.047098033799,7800.96679407113,-135.735115983994,9145.48474974735,-12.3594158236713,53.6454956842908,10.7543722732171,40,0,0,0,0.241237064901186,0.0287724351777198,0,0,1,
5,8,120.775461325371,7801.27833990393,-135.901465678503,9130.31716750769,-12.3707613887512,53.7711452542658,10.650945595544,40,0,0,0,0.242036150187625,0.0295385500355385,0,0,1,
6,10,120.503492778422,7801.58982787524,-136.066953391368,9115.14975320932,-12.382185606591,53.8967349449701,10.5469397928883,40,0,0,0,0.242875173534455,0.0303303589083589,0,0,1,
7,12,120.231194123061,7801.90123947953,-136.23157277829,9099.98172642287,-12.3936905208245,54.0222545913649,10.442350420475,40,0,0,0,0.243756343700466,0.0311495625536463,0,0,1,
8,14,119.958567102374,7802.21255603015,-136.395317420971,9084.81396443556,-12.4052746782477,54.1477062593451,10.3371703661388,40,0,0,0,0.244680984214427,0.0319979640075781,0,0,1,
9,16,119.685613474078,7802.523756545,-136.558179227071,9069.64617458361,-12.4169386507921,54.2730948766812,10.2313928842373,40,0,0,0,0.245652275589796,0.0328783889894728,0,0,1,
10,18,119.412335010732,7802.83481781308,-136.720150724794,9054.47783530666,-12.4286844078555,54.3984105912493,10.1250155663767,40,0,0,0,0.246678159237139,0.0337956920290267,0,0,1,
11,20,119.138733502999,7803.14571483712,-136.881221888537,9039.3098827644,-12.4405104077166,54.5236579449813,10.018027121092,40,0,0,0,0.247760474079041,0.0347522778693876,0,0,1,
12,22,118.864810760596,7803.45642046685,-137.041383583226,9024.14164750757,-12.4524178808186,54.6488324667079,9.91042318359365,40,0,0,0,0.248901316267263,0.0357501629053967,0,0,1,
13,24,118.590568613367,7803.76690701923,-137.200624798656,9008.97352362439,-12.4644065974025,54.7739385206103,9.8022002635272,40,0,0,0,0.250102124156651,0.0367915204535194,0,0,1,
14,26,118.316008912795,7804.07714533457,-137.358934794531,8993.80518118274,-12.4764781914725,54.8989717033571,9.69334990820477,40,0,0,0,0.251364598724926,0.0378784660751145,0,0,1,
15,28,118.041133533746,7804.38710483444,-137.516301112228,8978.63684572759,-12.4886323369922,55.0239298372196,9.58386539281827,40,0,0,0,0.252690150922605,0.0390131759648307,0,0,1,
16,30,117.765944375547,7804.69675281002,-137.672711720183,8963.46862301363,-12.5008688303244,55.1488164458232,9.47374019533498,40,0,0,0,0.254080537887091,0.0401978751626892,0,0,1,
17,32,117.490443362583,7805.00605643408,-137.82815336241,8948.30014043286,-12.513189216298,55.2736273137501,9.36296793383667,40,0,0,0,0.255536907139112,0.0414348170581484,0,0,1,
18,34,117.214632446421,7805.31498078581,-137.982612326935,8933.13169729282,-12.5255931137496,55.398362522889,9.25153929104994,40,0,0,0,0.257060552055316,0.0427263270739709,0,0,1,
19,36,116.938513607137,7805.62348972972,-138.13607372395,8917.963107902,-12.5380812686845,55.5230204490814,9.13945163631576,40,0,0,0,0.258652716291497,0.0440747059497402,0,0,1,
20,38,116.662088854868,7805.93154531861,-138.28852242457,8902.79460544888,-12.5506540686945,55.6475996277412,9.0266965633453,40,0,0,0,0.260314080980145,0.0454822567086828,0,0,1,
21,40,116.385360231766,7806.23910859557,-138.439941672004,8887.62617778815,-12.5633113179836,55.772099325877,8.91326576349502,40,0,0,0,0.262045371508076,0.0469513548238156,0,0,1,
22,42,116.108329813331,7806.54613836333,-138.590314594676,8872.45775691911,-12.5760538147214,55.8965186905102,8.79915508313672,40,0,0,0,0.263847369392758,0.0484844040748601,0,0,1,
23,44,115.830999710027,7806.85259290195,-138.739623099716,8857.28945507704,-12.5888822093217,56.0208584856882,8.684353431457,40,0,0,0,0.265720131873483,0.0500838694533309,0,0,1,
24,46,115.553372069858,7807.15842874501,-138.887848084516,8842.12097044475,-12.6017968012332,56.1451170745523,8.5688577769497,40,0,0,0,0.267664970989225,0.0517527858774502,0,0,1,
25,48,115.275449079048,7807.46360033284,-139.034970002802,8826.9525322548,-12.6147984957712,56.2692909718794,8.4526555498901,40,0,0,0,0.269679238507659,0.0534914960131478,0,0,1,
26,50,114.99723296445,7807.76806094356,-139.180967988755,8811.78414474378,-12.6278866724934,56.3933785503255,8.33574355123784,40,0,0,0,0.271764972399433,0.0553044142197196,0,0,1,
