step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,0,122,7937.23255273497,-105.487560579748,9527.71556524286,50.6386505466015,13.9342679732479,30,-60,0,0,-12.2280628606343,0,0.208636344603627,
2,5,121.472157536798,7937.73754884172,-105.649099724733,9527.71564849246,50.9593510593914,13.7117043929441,30,-60,0,0,-12.1781387237661,0,0.210277633091487,
3,10,120.943516360261,7938.24158358082,-105.807043959715,9489.68350074702,51.2797490948888,13.4863077436667,30,-60,0,0,-12.2017071461428,0,0.212097939215445,
4,15,120.414094460275,7938.74451924051,-105.961386751837,9451.65158900913,51.5998342281145,13.258002314487,30,-60,0,0,-12.2257411387028,0,0.21411376165285,
5,20,119.883909864448,7939.24619931129,-106.112119305852,9413.61989522109,51.9196025418011,13.0267222090547,30,-60,0,0,-12.2502291481789,0,0.216342605373192,
6,25,119.35298065389,7939.74644168614,-106.259228233354,9375.58828708317,52.2390372911115,12.7923935217764,30,-60,0,0,-12.2751810798035,0,0.218827070040277,
7,30,118.82132498901,7940.2450317675,-106.402695867503,9337.55751115394,52.5581297659583,12.5549339584145,30,-60,0,0,-12.3006016896066,0,0.221597807083505,
8,35,118.288961128592,7940.74173206688,-106.542500499524,9299.52731877639,52.8768771174278,12.3142705926126,30,-60,0,0,-12.3264942808466,0,0.224674049740584,
9,40,117.755907452045,7941.23628792098,-106.678615429776,9261.49739572095,53.1952555680295,12.0703151661905,30,-60,0,0,-12.352863542619,0,0.228074635483069,
10,45,117.222182471627,7941.72842300794,-106.811014636749,9223.46872624612,53.513262353904,11.8229901103083,30,-60,0,0,-12.37971211263,0,0.231817011636592,
11,50,116.687804845745,7942.21784421761,-106.939665024893,9185.44094175538,53.8308857694336,11.5722062607274,30,-60,0,0,-12.407046592914,0,0.235917075211171,
12,55,116.15279340843,7942.70423703864,-107.064529704987,9147.41407000004,54.1481111882663,11.3178741215708,30,-60,0,0,-12.4348731703938,0,0.240388579558086,
13,60,115.617167185295,7943.1872716501,-107.185568731259,9109.388458815,54.4649273099588,11.0598996647356,30,-60,0,0,-12.4631937298544,0,0.245242441185847,
14,65,115.080945413676,7943.66659771325,-107.302737656437,9071.36406101351,54.7813194754901,10.7981943305942,30,-60,0,0,-12.4920095759944,0,0.250485447034431,
15,70,114.544147568416,7944.14184778865,-107.415984676013,9033.34142398965,55.0972769810475,10.5326493480221,30,-60,0,0,-12.5213305539788,0,0.256124047309585,
16,75,114.006793393001,7944.61262917552,-107.525254420708,8995.32002573941,55.4127837691571,10.2631735432153,30,-60,0,0,-12.5511545512444,0,0.262178437279814,
17,80,113.468902942464,7945.07850636821,-107.630476841325,8957.30060143292,55.7278224090553,9.98965533010812,30,-60,0,0,-12.5814951188455,0,0.268673262824317,
