step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,entry_phase,
1,0,121.860000000001,7815.70259813559,-114.608026163939,8561.26814531357,-10.8638077598391,58.4270653054131,6.67625787413414,38,0,0,0,0.24282881684528,0.00975634915982098,0,1,
2,2,121.630692587979,7815.96079680367,-114.69928288582,8561.26817999031,-10.8506773213628,58.5468954030757,6.53724020004012,38,0,0,0,0.241708864618454,0.00970821152660757,0,1,
3,4,121.401203378702,7816.2188019667,-114.789822848282,8545.97147921278,-10.8643505889818,58.6665985678189,6.39731585229941,38,0,0,0,0.24235631740899,0.00992258577484428,0,1,
4,6,121.17153380811,7816.47660168037,-114.879643578143,8530.67493168305,-10.8781159093206,58.7861735329318,6.25647737293826,38,0,0,0,0.243032040312706,0.0101423220792509,0,1,
5,8,120.941685319613,7816.73418349682,-114.968740177611,8515.37860075405,-10.8919524885321,58.9056233739742,6.11471636320272,38,0,0,0,0.243737257805164,0.0103677688312017,0,1,
6,10,120.711659364555,7816.99153360175,-115.057109516802,8500.08216071804,-10.9058841323473,59.0249412648965,5.97201966958272,38,0,0,0,0.244472532773513,0.0105993000548056,0,1,
7,12,120.481457401813,7817.24863816074,-115.144746938101,8484.78591450194,-10.9198837015931,59.1441278185783,5.8283796703555,38,0,0,0,0.24523922363342,0.0108372501447338,0,1,
8,14,120.251080899264,7817.50548175535,-115.231648274026,8469.48977384007,-10.9339689684252,59.2631799937722,5.68378624842944,38,0,0,0,0.246038345719801,0.011082011184907,0,1,
9,16,120.020531333876,7817.76204879116,-115.317808845354,8454.19385520198,-10.9481334801542,59.3820987563569,5.53822842401712,38,0,0,0,0.246870831907339,0.0113339343456462,0,1,
10,18,119.7898101933,7818.01832278149,-115.403222663563,8438.89791750943,-10.9623758829444,59.5008791763322,5.3916946614055,38,0,0,0,0.247738531150981,0.0115934396588967,0,1,
11,20,119.558918974587,7818.2742859115,-115.487885731214,8423.60218064017,-10.9767037229144,59.6195178386211,5.24417463233902,38,0,0,0,0.2486463328353,0.0118616832382123,0,1,
12,22,119.327859187606,7818.52991806582,-115.571789716934,8408.30678948852,-10.9911119925921,59.7380233979054,5.09566240010986,38,0,0,0,0.249597130832161,0.0121393303366614,0,1,
13,24,119.096632355848,7818.78519825605,-115.654929214769,8393.01108829244,-11.00560718646,59.8563809869034,4.94614158212562,38,0,0,0,0.25059217368659,0.0124267823103057,0,1,
14,26,118.865240016771,7819.04010465282,-115.737295599933,8377.71591771156,-11.0201868725927,59.9745950116063,4.79560386436401,38,0,0,0,0.251632384985425,0.0127244575592056,0,1,
15,28,118.633683723046,7819.29461394234,-115.818882528148,8362.42087879971,-11.0348490311963,60.0926642031764,4.64404043114808,38,0,0,0,0.252718969562205,0.0130328068635736,0,1,
16,30,118.401965042252,7819.54870288555,-115.899681188797,8347.12601423713,-11.0495944015543,60.2105855490711,4.49143601900005,38,0,0,0,0.25385291312637,0.0133522338949481,0,1,
