step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,entry_phase,
1,0,121.860000000001,7815.70259813559,-114.60802616394,9043.85996996667,-10.9299332575761,54.2757992227022,9.9776287237587,38,0,0,0,0.240745200542025,0.00984322199188742,0,1,
2,2,121.63069258933,7815.96079465198,-114.699281601701,9043.85992645391,-10.9147280718825,54.3993882711756,9.8642473309377,38,0,0,0,0.241714731757035,0.00971036416971989,0,1,
3,4,121.401203384108,7816.21879787473,-114.789820046721,9028.56536898679,-10.9260839094183,54.5228940747922,9.75022651411319,38,0,0,0,0.242361917611751,0.00992478398792808,0,1,
4,6,121.171533821453,7816.47659559184,-114.879638509899,9013.27086463364,-10.937511960588,54.6463155603607,9.63555650637215,38,0,0,0,0.243037629108279,0.0101445681949966,0,1,
5,8,120.941685344517,7816.73417508851,-114.968733593774,8997.9762889376,-10.9490117651608,54.769650183287,9.52022824364599,38,0,0,0,0.243742613299256,0.0103700593387378,0,1,
6,10,120.711659404342,7816.99152325034,-115.057100981388,8982.68167480026,-10.9605839419251,54.8929001372054,9.40424234806972,38,0,0,0,0.244477878038863,0.0106016376050205,0,1,
7,12,120.481457460332,7817.24862532198,-115.144736606255,8967.38704644098,-10.9722308041016,55.0160617312909,9.28758882409397,38,0,0,0,0.245244454481218,0.010839632095536,0,1,
8,14,120.251080980106,7817.50546657452,-115.231636349968,8952.09250076688,-10.9839502976548,55.1391374663667,9.17025834646381,38,0,0,0,0.246043740638393,0.011084439422799,0,1,
9,16,120.020531441125,7817.76203127957,-115.317794586274,8936.79763474221,-10.995743386842,55.2621227631248,9.05225005002006,38,0,0,0,0.246876203994334,0.0113364105634848,0,1,
10,18,119.789810330001,7818.01830270624,-115.403207340409,8921.50299735582,-11.0076119702537,55.385016978063,8.93355004693598,38,0,0,0,0.247743692294212,0.011595972713937,0,1,
11,20,119.558919144094,7818.27426346315,-115.487868354647,8906.20827265774,-11.0195548973684,55.5078180584377,8.81415734133225,38,0,0,0,0.248651372867037,0.0118642691923711,0,1,
12,22,119.327859393445,7818.52989289447,-115.571770844384,8890.91379148336,-11.031571898544,55.6305284346483,8.69406224074089,38,0,0,0,0.249602132868146,0.0121419621605386,0,1,
13,24,119.09663260124,7818.78517042956,-115.654908527973,8875.61915216579,-11.043664574667,55.7531439572627,8.5732561158859,38,0,0,0,0.250596972139738,0.0124294758331602,0,1,
14,26,118.865240304933,7819.04007387603,-115.73727350692,8860.32455801899,-11.0558326937254,55.8756651742687,8.45173345075443,38,0,0,0,0.251636997241677,0.0127272248253507,0,1,
15,28,118.633684057845,7819.29458082018,-115.818857900793,8845.02994195277,-11.0680780425651,55.9980921178677,8.32948671231895,38,0,0,0,0.252723451627469,0.0130356207765275,0,1,
16,30,118.401965428819,7819.54866748221,-115.899653966356,8829.73520170877,-11.0804001342818,56.1204173784061,8.2065082980435,38,0,0,0,0.253857507414298,0.0133551110306953,0,1,
17,32,118.170086002821,7819.80230923964,-115.979653205763,8814.44086262563,-11.0927969645075,56.2426468773851,8.08279303616376,38,0,0,0,0.255040011247636,0.013686131478944,0,1,
18,34,117.938047382888,7820.05548104699,-116.058846221307,8799.14642490679,-11.1052734862539,56.3647776796586,7.95833252635674,38,0,0,0,0.256272108040307,0.0140290995356748,0,1,
19,36,117.705851190431,7820.30815640766,-116.137224086684,8783.85200868587,-11.1178270827717,56.4868053957548,7.83311511451814,38,0,0,0,0.257554577556634,0.0143844859633249,0,1,
20,38,117.473499066086,7820.56030789927,-116.214776095451,8768.55772653888,-11.1304583146768,56.60873353722,7.70713789347724,38,0,0,0,0.258891916810329,0.0147529235581349,0,1,
21,40,117.240992671442,7820.81190781298,-116.291492430068,8753.26338254923,-11.1431685731008,56.730554950004,7.58039094968126,38,0,0,0,0.26027448495253,0.0151342547748932,0,1,
22,42,117.008333688926,7821.06292710142,-116.367361885556,8737.96939517963,-11.1559571830845,56.852275314295,7.45286602674003,38,0,0,0,0.261713515157345,0.0155295465313035,0,1,
23,44,116.775523823337,7821.31333560312,-116.442373335386,8722.67517751743,-11.1688256438911,56.9738882136586,7.32455437857158,38,0,0,0,0.263206198094682,0.015939051750222,0,1,
24,46,116.542564802416,7821.56310243374,-116.51651488929,8707.38113747113,-11.181773752327,57.0953941781661,7.195449452567,38,0,0,0,0.26475293106725,0.0163632394713372,0,1,
25,48,116.309458378965,7821.81219583587,-116.589773671928,8692.08719265544,-11.19480229975,57.2167905748358,7.06554286094297,38,0,0,0,0.266354172556677,0.0168025470223042,0,1,
26,50,116.076206331316,7822.06058293464,-116.662136600608,8676.79345312327,-11.207911654797,57.3380747403548,6.93482614133796,38,0,0,0,0.268010599658837,0.0172574770542627,0,1,
27,52,115.842810464281,7822.30822967015,-116.733590337215,8661.50003020367,-11.2211013665513,57.4592501888255,6.80329119922806,38,0,0,0,0.269725404228822,0.0177286545615939,0,1,
28,54,115.609272610464,7822.555101653,-116.804120855789,8646.20654060183,-11.2343737205892,57.5803140113596,6.67092761293287,38,0,0,0,0.271489619227543,0.0182159171272955,0,1,
29,56,115.375594630787,7822.80116284281,-116.873713363633,8630.91304397023,-11.247730028887,57.7012630705204,6.53772957356927,38,0,0,0,0.273312264358592,0.0187203866794115,0,1,
30,58,115.141778417462,7823.04637727224,-116.94235177714,8615.61980472945,-11.2611680367145,57.8220948748816,6.40368627221392,38,0,0,0,0.275190138136096,0.0192422724759833,0,1,
31,60,114.907825893286,7823.29070641318,-117.01002092229,8600.32683601081,-11.2746861757549,57.9428100680933,6.26878933467293,38,0,0,0,0.277123414707096,0.0197820389121347,0,1,
32,62,114.673739014358,7823.53411267011,-117.076703823483,8585.03399270725,-11.2882878209918,58.0634086150525,6.13302951096165,38,0,0,0,0.279111553484335,0.020340143415167,0,1,
33,64,114.43951976967,7823.77655542474,-117.142383112123,8569.74115439792,-11.3019742468686,58.1838865981977,5.99640001044304,38,0,0,0,0.281155224564253,0.0209174277909623,0,1,
34,66,114.205170184973,7824.01799360729,-117.207040484189,8554.44861951986,-11.3157430266718,58.304243384829,5.85888972716543,38,0,0,0,0.283256073100301,0.021514944432206,0,1,
35,68,113.970692323449,7824.2583830991,-117.270656297951,8539.15624792703,-11.3295960674861,58.4244746817905,5.72048799391888,38,0,0,0,0.285415210760201,0.0221336782953109,0,1,
36,70,113.736088288833,7824.49767755207,-117.33320944912,8523.86421866008,-11.343535416873,58.5445827600099,5.58118797001441,38,0,0,0,0.287633874714163,0.022774725906878,0,1,
37,72,113.501360228302,7824.73582914213,-117.394677873198,8508.57232974953,-11.3575600304839,58.664565322456,5.44097791323702,38,0,0,0,0.289912662859015,0.0234390612638171,0,1,
38,74,113.2665103345,7824.97278761001,-117.455038501766,8493.28056085541,-11.3716706031435,58.7844207456972,5.29985044464581,38,0,0,0,0.292252523472543,0.0241277278018068,0,1,
39,76,113.031540848698,7825.20850090509,-117.514265086529,8477.98901215714,-11.3858665341046,58.9041461915034,5.15779475976416,38,0,0,0,0.294653838500914,0.024841677047439,0,1,
40,78,112.796454063185,7825.44291430367,-117.572333280468,8462.69774921861,-11.4001520701342,59.0237404876709,5.01480211611732,38,0,0,0,0.297116954650707,0.0255819020616802,0,1,
41,80,112.561252322784,7825.67597171887,-117.6292148843,8447.40678675607,-11.4145260251283,59.1432028118027,4.87086054077872,38,0,0,0,0.299641871205959,0.0263493629281153,0,1,
42,82,112.325938030237,7825.90761533594,-117.684880031113,8432.11598713687,-11.4289865645149,59.2625299859723,4.72596096365692,38,0,0,0,0.302228513300106,0.0271448977828917,0,1,
43,84,112.090513646783,7826.13778464334,-117.739300167682,8416.82551978341,-11.443536318978,59.3817210035628,4.58009220334725,38,0,0,0,0.304876201256754,0.0279694624457612,0,1,
44,86,111.85498169439,7826.36641801612,-117.79244312838,8401.53529895095,-11.4581739678643,59.5007741883665,4.43324613967684,38,0,0,0,0.307584579392839,0.0288238434745981,0,1,
45,88,111.619344759288,7826.59345195683,-117.844276533473,8386.24541611312,-11.4729012665153,59.6196870594884,4.28540911293254,38,0,0,0,0.310352914772822,0.0297088428414663,0,1,
46,90,111.383605494072,7826.81882126027,-117.894767044438,8370.95581242489,-11.4877186609691,59.7384596353329,4.13657489800494,38,0,0,0,0.313179331756123,0.0306252114151786,0,1,
47,92,111.147766620161,7827.04245920105,-117.943878535335,8355.66652425742,-11.5026273061232,59.8570873849358,3.98672958882997,38,0,0,0,0.316063128775666,0.0315736435411617,0,1,
48,94,110.911830932115,7827.26429830177,-117.991574527456,8340.3776521867,-11.5176262884995,59.9755707676655,3.83586243536672,38,0,0,0,0.319002418251734,0.0325547074386119,0,1,
49,96,110.675801298051,7827.48426869437,-118.037817429498,8325.08902657329,-11.5327173026977,60.0939085207712,3.68396464972744,38,0,0,0,0.321995204306679,0.0335689324461103,0,1,
50,98,110.439680663398,7827.70230079511,-118.08256821397,8309.80069510962,-11.5479007547072,60.2120974758166,3.5310219548025,38,0,0,0,0.325039555359106,0.0346168861102711,0,1,
51,100,110.203472051101,7827.91832265257,-118.125787645566,8294.51264476534,-11.5631768907544,60.3301341004877,3.37702534498646,38,0,0,0,0.328133275159825,0.0356988664428647,0,1,
52,102,109.967178564278,7828.13226256149,-118.167435244155,8279.22509904313,-11.5785456978735,60.4480168398616,3.22196347031269,38,0,0,0,0.331273574393432,0.0368151320394219,0,1,
53,104,109.730803387988,7828.34404767577,-118.207469492796,8263.93803669227,-11.5940059091385,60.5657448263256,3.06582388797341,38,0,0,0,0.334457814969632,0.0379659145758556,0,1,
54,106,109.494349790692,7828.55360454835,-118.245848300079,8248.65134366835,-11.6095617844203,60.683318420038,2.90859487978662,38,0,0,0,0.337685364477633,0.0391518292344325,0,1,
55,108,109.257821127132,7828.76085691986,-118.282527154912,8233.36484247578,-11.6252139468616,60.8007299391459,2.75026593965913,38,0,0,0,0.340957692162165,0.0403748425439288,0,1,
56,110,109.021220844951,7828.96572541869,-118.31745798486,8218.0790332418,-11.6409611138391,60.9179860990199,2.59082612598149,38,0,0,0,0.344277048431855,0.0416368306172036,0,1,
57,112,108.784552489555,7829.16812515236,-118.350590817728,8202.7932806379,-11.6568060485001,61.0350755438297,2.430259266517,38,0,0,0,0.347645093428424,0.0429397248763575,0,1,
58,114,108.54781970993,7829.36796893516,-118.381872126338,8187.50815550705,-11.6727469638088,61.1519984197888,2.2685564365247,38,0,0,0,0.351063351815924,0.0442854163359602,0,1,
59,116,108.311026264811,7829.56516411662,-118.41124589648,8172.2236173833,-11.6887846953647,61.2687554055426,2.10570420306186,38,0,0,0,0.354532986224097,0.0456757701603847,0,1,
60,118,108.07417602802,7829.75961531657,-118.438652209168,8156.93941539012,-11.7049208765919,61.3853407751747,1.94169025107038,38,0,0,0,0.358054660786807,0.0471125087849781,0,1,
61,120,107.83727299616,7829.95122301492,-118.464029374177,8141.6558390359,-11.721155056857,61.5017569146836,1.776502946503,38,0,0,0,0.361629372304703,0.048597590898816,0,1,
62,122,107.600321293985,7830.13988400364,-118.487310243835,8126.37258349904,-11.7374901645145,61.6179941410409,1.61012760868562,38,0,0,0,0.365257574696784,0.050132662231813,0,1,
63,124,107.363325180935,7830.32549143462,-118.50842754378,8111.09015476996,-11.7539221107251,61.7340608736412,1.4425532356629,38,0,0,0,0.368939546053836,0.0517193419285572,0,1,
64,126,107.126289056938,7830.50793519647,-118.527307630759,8095.80781998638,-11.7704573112198,61.8499451730468,1.27376600901488,38,0,0,0,0.372675105672598,0.0533594294601996,0,1,
65,128,106.889217470955,7830.68710206921,-118.543875326995,8080.52629500888,-11.7870909955586,61.9656493844994,1.10375250239662,38,0,0,0,0.376464405012412,0.0550544982424175,0,1,
66,130,106.652115125109,7830.86287465431,-118.558052858377,8065.2452252032,-11.8038274331827,62.0811677838117,0.932498648352521,38,0,0,0,0.380306961211149,0.0568067093327156,0,1,
67,132,106.414986881332,7831.03513222096,-118.569758115189,8049.96484741348,-11.8206661446253,62.1965022720576,0.759993913413496,38,0,0,0,0.384202964550872,0.058615742767649,0,1,
68,134,106.177837767459,7831.20375067853,-118.578906957398,8034.68496074936,-11.8376133862433,62.3116471418979,0.586222809231799,38,0,0,0,0.388150857817884,0.0604849672062352,0,1,
69,136,105.940672985276,7831.3686038653,-118.585410022959,8019.40575206937,-11.8546621858271,62.4265986099085,0.41116917052841,38,0,0,0,0.39214987715493,0.062415310743441,0,1,
70,138,105.703497917801,7831.52956194306,-118.589175128736,8004.12723932266,-11.8718141366139,62.5413585294342,0.234822203914632,38,0,0,0,0.396199456804515,0.0644081136084163,0,1,
71,140,105.466318135062,7831.68649220656,-118.590107491271,7988.84922783905,-11.8890712990659,62.6559209640485,0.0571671877692665,38,0,0,0,0.400298748895273,0.0664647497117805,0,1,
72,142,105.229139400254,7831.8392584037,-118.588109091462,7973.57195859123,-11.9064353630093,62.770285941007,-0.121811447287882,38,0,0,0,0.404446256605646,0.0685866334331024,0,1,
73,144,104.991967675908,7831.98772116739,-118.58307802879,7958.29519938512,-11.9239027311471,62.8844454208933,-0.302128015795972,38,0,0,0,0.408640498342518,0.0707752887682211,0,1,
74,146,104.754809131964,7832.13173899717,-118.574909310554,7943.01936647554,-11.94147753206,62.9984030334079,-0.483793790882032,38,0,0,0,0.412879621125585,0.0730310528918872,0,1,
75,148,104.517670149626,7832.27117063327,-118.563496924055,7927.74413193891,-11.9591623856926,63.1121548978232,-0.66682707401543,38,0,0,0,0.417157940195311,0.075353759363543,0,1,
76,150,104.280557324539,7832.40587115218,-118.548731227308,7912.46946076466,-11.9769550625948,63.2256908083391,-0.851242652038479,38,0,0,0,0.421478991731562,0.0777469237156329,0,1,
77,152,104.04347748029,7832.53568728688,-118.530493575902,7897.19591511338,-11.9948550954567,63.3390164294339,-1.03705404394969,38,0,0,0,0.425845559489385,0.0802152229134885,0,1,
