step,time,alt,speed,hdot,range,lat,long,pitch,roll,tgt_range,range_err,az_err,roll_ref,l_d,
1,0,121.999999999999,7975.5301423085,-95.532433531399,9530.23679254806,46.9066170110042,6.8624384170505,30,-50,0,0,-12.5275673259802,0,0.208627202880783,
2,5,121.522123621074,7975.97415148799,-95.6178393118703,9530.23677380857,47.2165193301267,6.61774165513708,30,-50,0,0,-12.4749977511791,0,0.210164837470458,
3,10,121.043828445981,7976.41684184863,-95.6999502482695,9492.06341122466,47.526023681903,6.37038233945043,30,-50,0,0,-12.4981339227081,0,0.211787091507621,
4,15,120.565130964311,7976.85810191104,-95.778759470255,9453.89068676667,47.8351188235664,6.12030404546107,30,-50,0,0,-12.5217646048336,0,0.213565907218994,
5,20,120.086047702795,7977.29780661126,-95.8542586761346,9415.71883848421,48.1437972501488,5.86744769336349,30,-50,0,0,-12.5458495944419,0,0.215513020244126,
6,25,119.606595243157,7977.73581717963,-95.9264345912534,9377.54770986258,48.452050138193,5.61175392775874,30,-50,0,0,-12.5704040331166,0,0.217651554123012,
7,30,119.126790240274,7978.17196753107,-95.9952704505431,9339.37729282673,48.7598591410057,5.35315821187697,30,-50,0,0,-12.5954431928133,0,0.220014307588038,
8,35,118.646649449597,7978.6060719532,-96.0607440940398,9301.20816414978,49.0672159916729,5.09159881170001,30,-50,0,0,-12.6209665526441,0,0.222616013023545,
9,40,118.166189739276,7979.03793160633,-96.1228314197865,9263.04025351154,49.3741092150132,4.82701239406788,30,-50,0,0,-12.6469799837813,0,0.225469796549942,
10,45,117.685428110831,7979.46733157871,-96.181503431199,9224.87373160036,49.6805258641749,4.55932981414816,30,-50,0,0,-12.6734812697253,0,0.228589262867377,
11,50,117.204381717511,7979.89404515935,-96.2367288692417,9186.70866020702,49.9864558452357,4.28848596450626,30,-50,0,0,-12.7004769224668,0,0.231986730559503,
12,55,116.723067877928,7980.31783113612,-96.2884722742947,9148.54512093016,50.291883378633,4.01440750694121,30,-50,0,0,-12.7279755737474,0,0.235673066516519,
13,60,116.241504104138,7980.73843491593,-96.3366922444061,9110.38331593005,50.5967944276338,3.73702334790039,30,-50,0,0,-12.7559861520677,0,0.239657680016131,
14,65,115.759708117264,7981.1555892744,-96.3813455174886,9072.22347140258,50.9011766102465,3.45626064819567,30,-50,0,0,-12.784504503525,0,0.243948459277475,
15,70,115.277697871642,7981.5690121759,-96.4223829585653,9034.06565414544,51.2050185529987,3.17204467689828,30,-50,0,0,-12.8135366823959,0,0.248550522662966,
16,75,114.795491576088,7981.97841066387,-96.4597514478564,8995.90982090726,51.5083021614394,2.88429620945755,30,-50,0,0,-12.8430886017499,0,0.253466899563552,
17,80,114.313107721836,7982.38347778524,-96.4933907309501,8957.75631504894,51.8110140856061,2.59293746905178,30,-50,0,0,-12.8731666123195,0,0.258706639244947,
18,85,113.830565120395,7982.78387867638,-96.523231749105,8919.60523140275,52.1131337606517,2.29788439374886,30,-50,0,0,-12.9037747205977,0,0.264283150028077,
19,90,113.347882958744,7983.17924611925,-96.5491941701844,8881.45700232887,52.4146540568434,1.99905588726921,30,-50,0,0,-12.9349168494531,0,0.270225317162102,
20,95,112.865080849431,7983.56918477506,-96.5711869356974,8843.31120156272,52.7155507833404,1.6963636260981,30,-50,0,0,-12.9665988635965,0,0.276531532247616,
21,100,112.382178896899,7983.95327129092,-96.5891055464285,8805.16847813968,53.015811315917,1.38972229908723,30,-50,0,0,-12.9988248541608,0,0.283213254412578,
22,105,111.89919775812,7984.33105605814,-96.6028327767017,8767.02877852847,53.3154166956272,1.07904059304167,30,-50,0,0,-13.031602791044,0,0.290272654314664,
23,110,111.416158692112,7984.70207725318,-96.6122446448353,8728.89233323157,53.6143473274897,0.764225356464067,30,-50,0,0,-13.0649348586573,0,0.297706888041235,
24,115,110.933083615558,7985.06584748386,-96.6172034104275,8690.7594051128,53.9125873447502,0.445181875914727,30,-50,0,0,-13.0988267114849,0,0.305506175381174,
25,120,110.44999515921,7985.42187044548,-96.6175604082346,8652.62996671081,54.2101171516951,0.121812982326333,30,-50,0,0,-13.1332841992462,0,0.313665890724752,
26,125,109.966916717152,7985.76964466606,-96.6131605760816,8614.5042395218,54.5069144804755,-0.205983080467547,30,-50,0,0,-13.1683110355867,0,0.322136823058259,
27,130,109.483872469637,7986.10866458707,-96.6038424649491,8576.38250856356,54.8029618275168,-0.538306512813506,30,-50,0,0,-13.2039124945821,0,0.33092916272955,
28,135,109.000887445346,7986.43840211014,-96.5894256909683,8538.26484382878,55.0982341142324,-0.875263731705786,30,-50,0,0,-13.2400941835545,0,0.340051649018026,
29,140,108.517987636087,7986.75827956532,-96.5697050695862,8500.15167866987,55.392712425933,-1.21696313069469,30,-50,0,0,-13.2768596672276,0,0.349527181093257,
30,145,108.03520012492,7987.06766604463,-96.544448256182,8462.04296486332,55.6863749276221,-1.56351308054184,30,-50,0,0,-13.3142147368447,0,0.359373146112971,
31,150,107.552553239426,7987.36588405821,-96.5133902855068,8423.93895881892,55.979197853662,-1.91503070292413,30,-50,0,0,-13.3521641598939,0,0.36960197971503,
32,155,107.070076695684,7987.65221379497,-96.4762407685257,8385.83973622308,56.2711542996648,-2.27162929853353,30,-50,0,0,-13.3907120434087,0,0.380225813133097,
33,160,106.587801747923,7987.92589289075,-96.432674191728,8347.74586420969,56.5622219354147,-2.63342952130961,30,-50,0,0,-13.4298616536057,0,0.391228849436603,
34,165,106.105761339302,7988.18612152228,-96.3823404335094,8309.65731247427,56.8523780743477,-3.00055312908205,30,-50,0,0,-13.4696153849222,0,0.402625692983342,
35,170,105.623990254078,7988.43206631428,-96.3248533066494,8271.57411551874,57.141587771349,-3.37312686986928,30,-50,0,0,-13.5099630770572,0,0.414403354991746,
36,175,105.142525276008,7988.66286226759,-96.259799153559,8233.49705536681,57.4298309416792,-3.75127805178317,30,-50,0,0,-13.5509521278435,0,0.426550740332539,
37,180,104.661405333747,7988.87761383042,-96.1867353050916,8195.42589166308,57.7170776092157,-4.1351386487334,30,-50,0,0,-13.5925635275089,0,0.439044502670062,
38,185,104.180671627081,7989.07540501175,-96.1051914522745,8157.36097609984,58.0032969584174,-4.52484383041644,30,-50,0,0,-13.6347929605486,0,0.451877772779967,
39,190,103.70036784298,7989.25523120936,-96.0146346916586,8119.30265753775,58.288461527001,-4.92053215253543,30,-50,0,0,-13.6776349033608,0,0.465099847066933,
40,195,103.220540539576,7989.4159660401,-95.9144503444932,8081.25097939819,58.5725371791756,-5.32234456047217,30,-50,0,0,-13.7211127449996,0,0.478718908962899,
41,200,102.741239556556,7989.55635848608,-95.8039378457556,8043.20643428237,58.8554944680737,-5.73042594711058,30,-50,0,0,-13.7652283629456,0,0.492770907004116,
42,205,102.262518450191,7989.67504440586,-95.6823130768676,8005.16909273124,59.137296502292,-6.14492501086784,30,-50,0,0,-13.8099673141688,0,0.507247632751403,
