step,time,alt,speed,hdot,range,az_err,lat,long,pitch,roll,unl_roll,roll_ref,l_d,drag,drag_ref,hdot_ref,entry_phase,
1,0,121.86,7926.53885197371,-211.186305135829,8046.74062131337,-13.2766155749129,61.6615513596697,0.0367176970853507,40,0,0,0,0.243840114300763,0.0327982073757254,0,0,1,
2,2,121.438064852819,7927.02172876117,-210.748603362737,8046.74062421118,-13.2621283548719,61.7786898941822,-0.132892169749084,40,0,0,0,0.244699489366946,0.0341877179202849,0,0,1,
3,4,121.017006640312,7927.50274598585,-210.309368625854,8031.38401178497,-13.2812569353642,61.8956522062447,-0.303756064735637,40,0,0,0,0.245842639432832,0.0356086959829652,0,0,1,
4,6,120.596828438462,7927.98186189678,-209.86859033148,8016.0271668531,-13.3004971563575,62.0124383457446,-0.47588615278795,40,0,0,0,0.247072629839015,0.0370960875229347,0,0,1,
5,8,120.177533348543,7928.45902975334,-209.426254001548,8000.66998445362,-13.3198525490493,62.1290403097096,-0.649297272575382,40,0,0,0,0.248394391395917,0.0386569773409449,0,0,1,
6,10,119.759124502044,7928.93419894815,-208.982344210727,7985.31285393124,-13.3393169892536,62.245462221248,-0.824003441281945,40,0,0,0,0.24981347082667,0.040298912283946,0,0,1,
7,12,119.341605063133,7929.40731204306,-208.536842617516,7969.95530572846,-13.3589011334163,62.3616980702406,-1.00001984151038,40,0,0,0,0.251347181036829,0.0420377268256813,0,0,1,
8,14,118.924978238589,7929.87830190368,-208.089725566871,7954.59757606669,-13.3785977791402,62.4777437502467,-1.1773600267216,40,0,0,0,0.253005264286337,0.0438847640180462,0,0,1,
9,16,118.509247283593,7930.34709595865,-207.640968375868,7939.23982631537,-13.3983832292266,62.593597176623,-1.35603973224545,40,0,0,0,0.25479226804436,0.0458477967547117,0,0,1,
10,18,118.094415506227,7930.81361697464,-207.190542731021,7923.88198857081,-13.4182819782956,62.7092582681331,-1.53607343560344,40,0,0,0,0.256712232859708,0.0479348156752695,0,0,1,
11,20,117.680486273733,7931.27778292098,-206.738417626249,7908.52390321515,-13.4382936865742,62.8247207821559,-1.71747620938885,40,0,0,0,0.258768248020486,0.0501538204645536,0,0,1,
12,22,117.267463018483,7931.73950666325,-206.284559440362,7893.16583830962,-13.4584171243447,62.939984423175,-1.90026201738056,40,0,0,0,0.260963888153368,0.0525126461007796,0,0,1,
13,24,116.855349242695,7932.19869638218,-205.828931355269,7877.80767764559,-13.4786569070423,63.0550470931467,-2.08444832185637,40,0,0,0,0.263300657657752,0.0550194153420553,0,0,1,
14,26,116.444148523802,7932.65525488972,-205.371495242599,7862.44930529662,-13.4990155575234,63.1699004307416,-2.27005011734065,40,0,0,0,0.265777997522813,0.0576812465474239,0,0,1,
15,28,116.033864520423,7933.10907990655,-204.912207931527,7847.09115211478,-13.5194945403396,63.2845480403875,-2.4570825363802,40,0,0,0,0.268402788774359,0.0605084769611729,0,0,1,
16,30,115.624500981985,7933.5600652937,-204.451022194225,7831.73279120801,-13.5400864624344,63.3989836037401,-2.64556289031702,40,0,0,0,0.271167977336312,0.0635065115560832,0,0,1,
17,32,115.216061751944,7934.00809910724,-203.987890656553,7816.37442510038,-13.5607924314276,63.5132026110267,-2.83550545756486,40,0,0,0,0.274074337052162,0.0666837001433192,0,0,1,
18,34,114.808550773276,7934.45306497371,-203.522760943842,7801.0162455383,-13.581611185099,63.6272046306465,-3.02692844514451,40,0,0,0,0.277119075660178,0.0700475444376695,0,0,1,
19,36,114.40197209929,7934.89484123284,-203.055576125799,7785.65800910352,-13.6025507270216,63.740988988837,-3.21984531276456,40,0,0,0,0.280300694558711,0.0736071917373169,0,0,1,
20,38,113.996329898367,7935.33329922446,-202.58627609339,7770.29967790955,-13.623605516824,63.8545453352276,-3.41427707684795,40,0,0,0,0.283622328950798,0.0773794701611836,0,0,1,
21,40,113.591628468905,7935.76829867864,-202.11479255381,7754.94160563494,-13.6447761451301,63.9678768469507,-3.6102369707769,40,0,0,0,0.2870875335582,0.0813820840425623,0,0,1,
22,42,113.187872249599,7936.19968814846,-201.641051781676,7739.58350050867,-13.6660707346516,64.0809749303696,-3.80774382618563,40,0,0,0,0.290697936795469,0.0856322442362384,0,0,1,
