v1,d1,v2,d2,v3,d3,v4,d4,v5,d5
4597.12589,52.48519,4282.55648,32.6097,4282.55648,33.5361,3201.22412,33.28345,3201.22412,22.16665
4597.12589,51.97988,4282.55648,33.03079,4282.55648,33.11501,3201.22412,32.86236,3207.77765,21.74556
4636.44706,51.643,4282.55648,33.45188,4308.77059,32.94657,3220.88471,32.6097,3240.5453,21.82978
4675.76824,51.643,4256.34236,32.94657,4341.53824,32.94657,3253.65236,32.86236,3273.31295,21.82978
4715.08942,51.643,4223.57471,32.94657,4374.30589,32.94657,3286.42001,32.94657,3306.08059,21.914
4754.41059,51.643,4190.80706,32.94657,4407.07353,32.94657,3319.18765,32.86236,3338.84824,21.914
4793.73177,51.72722,4158.03942,32.94657,4439.84118,32.94657,3351.9553,32.77814,3371.61589,21.914
4557.80471,51.55879,4125.27177,32.94657,4472.60883,32.94657,3384.72295,32.86236,3404.38354,21.914
4518.48353,51.55879,4092.50412,32.94657,4505.37647,32.94657,3417.49059,32.77814,3437.15118,21.914
4479.16236,51.55879,4059.73648,32.94657,4538.14412,32.94657,3194.67059,32.35705,3469.91883,21.914
4439.84118,51.55879,4026.96883,32.94657,4570.91177,32.94657,3161.90295,32.10439,3502.68648,21.99821
4833.05294,51.643,3994.20118,32.94657,4603.67942,32.94657,3129.1353,31.85174,3535.45412,21.914
4872.37412,51.643,3961.43353,32.94657,4636.44706,32.94657,3096.36765,31.59908,3568.22177,21.914
4911.6953,51.47457,3928.66589,32.94657,4669.21471,32.94657,3063.60001,31.34643,3600.98942,21.914
4924.80236,50.96926,3895.89824,32.94657,4701.98236,32.77814,3030.83236,31.09378,3633.75706,21.914
4937.90942,50.46395,3863.13059,32.94657,4269.44942,32.94657,2998.06471,30.84112,3666.52471,21.914
4957.57,49.95864,3830.36295,32.94657,4236.68177,32.94657,2965.29707,30.58847,3699.29236,21.82978
4400.52,51.55879,3797.5953,32.94657,4203.91412,32.94657,2932.52942,30.42003,3732.06001,21.74556
4361.19883,51.55879,3764.82765,32.94657,4171.14648,32.94657,2899.76177,30.16738,3764.82765,21.66134
4321.87765,51.55879,3732.06001,32.94657,4138.37883,32.94657,2866.99412,29.99894,3797.5953,21.57712
4282.55648,51.643,3699.29236,32.94657,4105.61118,32.94657,2834.22648,29.74628,3830.36295,21.49291
4970.67706,49.45333,3666.52471,32.94657,4072.84353,32.94657,2801.45883,29.49363,3863.13059,21.40869
4990.33765,48.94802,3633.75706,32.94657,4040.07589,32.94657,2768.69118,29.32519,3895.89824,21.32447
5009.99824,48.44271,3600.98942,32.94657,4007.30824,32.94657,2735.92354,29.07254,3928.66589,21.24025
5029.65883,47.93741,3568.22177,32.94657,3974.54059,32.94657,2703.15589,28.9041,3961.43353,21.07182
5049.31942,47.4321,3535.45412,32.94657,3941.77295,32.94657,2670.38824,28.65145,3994.20118,20.9876
5062.42647,46.92679,3502.68648,32.94657,3909.0053,32.94657,2637.6206,28.48301,4026.96883,20.81916
5082.08706,46.42148,3469.91883,32.94657,3876.23765,32.94657,2604.85295,28.31458,4059.73648,20.73494
5108.30118,45.91617,3437.15118,32.94657,3843.47001,32.94657,2572.0853,28.14614,4092.50412,20.65072
5127.96177,45.41086,3404.38354,32.94657,3810.70236,32.94657,2539.31765,27.9777,4125.27177,20.48229
5147.62236,44.90555,3371.61589,32.86236,3777.93471,32.94657,2506.55001,27.80927,4158.03942,20.31385
4282.55648,51.1377,3338.84824,32.86236,3745.16706,33.03079,2473.78236,27.64083,4190.80706,20.22963
4243.2353,51.55879,3306.08059,32.94657,3712.39942,33.03079,2441.01471,27.30396,4223.57471,20.0612
4203.91412,51.55879,3273.31295,32.94657,3679.63177,33.03079,2408.24707,27.13552,4256.34236,19.89276
4164.59295,51.55879,3240.5453,32.77814,3646.86412,33.03079,2375.47942,26.96709,4282.55648,20.0612
4125.27177,51.55879,3207.77765,32.6097,3614.09648,32.94657,2342.71177,26.79865,3194.67059,21.66134
4085.95059,51.55879,4302.21706,32.94657,3581.32883,32.94657,2309.94412,26.546,3161.90295,21.66134
4046.62942,51.55879,4334.98471,32.94657,3548.56118,32.94657,2277.17648,26.46178,3129.1353,21.57712
4007.30824,51.55879,4367.75236,32.94657,3515.79353,32.94657,2244.40883,26.29334,3096.36765,21.57712
3967.98706,51.55879,4400.52,32.94657,3483.02589,32.94657,2211.64118,26.1249,3063.60001,21.49291
3928.66589,51.55879,4433.28765,32.94657,3450.25824,32.94657,2178.87354,25.95647,3030.83236,21.40869
3889.34471,51.55879,4466.0553,32.94657,3417.49059,32.94657,2146.10589,25.78803,2998.06471,21.24025
3850.02353,51.55879,4498.82295,32.94657,3384.72295,32.94657,2113.33824,25.6196,2965.29707,21.32447
3810.70236,51.55879,4531.59059,32.94657,3351.9553,32.77814,2080.5706,25.45116,2932.52942,21.15603
3771.38118,51.55879,4564.35824,32.94657,3319.18765,32.86236,2047.80295,25.36694,2899.76177,21.07182
3732.06001,51.55879,4597.12589,32.94657,3286.42001,32.94657,2015.0353,25.1985,2866.99412,21.07182
3692.73883,51.47457,4629.89353,32.94657,3253.65236,32.86236,1982.26765,25.03007,2834.22648,20.9876
3653.41765,51.47457,4662.66118,32.94657,3220.88471,32.52548,1949.50001,24.86163,2801.45883,20.90338
3614.09648,51.47457,4695.42883,32.86236,3188.11706,32.27283,1916.73236,24.77741,2768.69118,20.73494
3574.7753,51.47457,4728.19647,32.94657,3155.34942,32.02017,1897.07177,25.03007,2735.92354,20.73494
3535.45412,51.47457,4760.96412,32.94657,3122.58177,31.85174,3384.72295,32.52548,2703.15589,20.65072
3496.13295,51.47457,4793.73177,32.94657,3089.81412,31.51487,3417.49059,32.27283,2670.38824,20.56651
3456.81177,51.47457,4826.49942,32.94657,3057.04648,31.26221,3450.25824,32.18861,2637.6206,20.48229
5173.83647,44.40024,4859.26706,32.94657,3024.27883,31.09378,3483.02589,32.02017,2604.85295,20.39807
5193.49706,43.89493,4892.03471,32.94657,2991.51118,30.84112,3515.79353,31.85174,2572.0853,20.22963
5226.26471,43.38963,4924.80236,32.94657,2958.74354,30.58847,3548.56118,31.6833,2539.31765,20.0612
5252.47883,42.88432,4957.57,32.94657,2925.97589,30.33581,3581.32883,31.51487,2506.55001,20.14542
5272.13941,42.37901,4990.33765,32.94657,2893.20824,30.16738,3614.09648,31.34643,2473.78236,19.97698
3417.49059,51.47457,5023.1053,32.94657,2860.44059,29.91472,3646.86412,31.17799,2441.01471,19.89276
3378.16942,51.47457,5055.87294,32.94657,2827.67295,29.66207,3679.63177,30.92534,2408.24707,19.80854
3338.84824,51.47457,5088.64059,32.94657,2794.9053,29.49363,3712.39942,30.84112,2375.47942,19.64011
3299.52706,51.47457,5121.40824,32.94657,2762.13765,29.32519,3745.16706,30.58847,2342.71177,19.55589
3260.20589,51.55879,5154.17589,32.94657,2729.37001,29.07254,3777.93471,30.42003,2309.94412,19.38745
3260.20589,52.0641,5180.39,33.11501,2696.60236,28.81989,3810.70236,30.25159,2277.17648,19.30323
5180.39,43.38963,3207.77765,32.52548,2663.83471,28.65145,3843.47001,29.99894,2244.40883,19.21902
5180.39,42.88432,3175.01001,32.27283,2631.06707,28.39879,3876.23765,29.8305,2211.64118,19.05058
5180.39,42.37901,3142.24236,32.02017,2598.29942,28.23036,3909.0053,29.66207,2178.87354,18.96636
5298.35353,41.8737,3109.47471,31.6833,2565.53177,27.9777,3941.77295,29.49363,2146.10589,18.79793
